000009503 Gatza, Marene 3.67 2021
163520128 Heal, Anyi 1.15 2020
163548681 Rowald, Omer 1.57 2018
163553455 Deschambault, Peio 0.89 2021
163562612 Sehrt, Teolindo 0.08 2022
163565077 Heck, Teofilo 1.26 2021
163583061 Hebrank, Alberte 1.79 2022
163601169 Ubiles, Ozlem 1.54 2018
163611815 Chrisman, Diamela 3.82 2020
163612037 Starling, Otar 0.59 2022
163643981 Panek, Conor 0.51 2019
163698040 Mazzo, Sarabi 4.17 2019
163703797 Lenior, Ta 0.27 2019
163730334 Monz, Pencho 3.30 2022
163733276 Talaska, Iaroslav 1.08 2021
163733224 Webber, Bridgett 1.89 2019
163737120 Bussone, Borja 1.17 2019
163746172 Bayuk, Edelio 0.24 2019
163766826 Petric, Ekhiñe 1.86 2018
163774620 Largo, Oddvar 1.20 2020
163793421 Perlman, Noumidia 2.11 2020
163829229 Langanke, Moussa 0.74 2021
163831631 Sprewell, Geremias 2.63 2022
163842539 Hoshino, Firuta 1.38 2022
163853140 Merseal, Eyre 4.06 2019
163884006 Dionisopoulos, Zoia 4.09 2020
163885516 Elieff, Tressa 3.71 2020
163888261 Mcdaneld, Yesid 3.21 2022
163899183 Ohotto, Nedka 3.24 2019
163910452 Mungia, Silvana 2.65 2018
163923213 Mcrary, Gaspar 4.65 2019
163928100 Fonger, Na 4.79 2022
163930483 Karmely, Ayax 0.23 2020
163938327 Ishee, Estrellita 0.02 2019
163941465 Eckols, Wenceslada 2.46 2020
163962695 Lowis, Samia 4.36 2019
163963395 Ricardson, Lynsey 0.90 2021
163965267 Neubig, Pascasia 2.56 2019
163973207 Besant, Torbjorn 3.91 2019
163975777 Renzullo, Ramandeep 0.22 2021
163993186 Vanwyk, Margit 3.23 2020
163999066 Youngberg, Cecilia 2.91 2019
164016067 Kulbida, Yutong 2.81 2020
164023659 Huynh, Edisson 4.93 2018
164035174 Kuhlenschmidt, Nancie 3.40 2021
164039137 Nardozzi, Ivon 3.64 2020
164054928 Moffitt, Radek 1.71 2019
164066721 Licerio, Ainet 4.27 2022
164077732 Wodskow, Heitor 1.94 2019
164082531 Batt, Ireneu 1.29 2022
164089632 Lopze, Gavril 4.81 2019
164142614 Mealey, Ihsane 4.51 2022
164162337 Ponessa, Qiaoli 3.26 2019
164177212 Scarfo, Orlin 3.02 2019
164197438 Chavis, Hudaifa 3.01 2022
164230236 Vandonsel, Amado 0.69 2022
164233599 Grap, Giraldo 3.91 2018
164255239 Toot, Zaman 0.73 2020
164265370 Bonton, Jinbao 3.22 2022
164268459 Mazzeo, Hongli 2.23 2018
164289935 Moors, Dee 3.64 2022
164290789 Routzen, Alvino 4.14 2018
164298684 Swymer, Evdokia 1.83 2019
164307499 Whalley, Malainine 0.84 2021
164315074 Everroad, Mariusz 2.01 2022
164317439 Gibb, Houriya 0.70 2018
164320338 Coombe, Leszek 2.90 2021
164328673 Yaskiewicz, Shuying 4.82 2018
164341774 Hornik, Alessandro 1.12 2019
164369149 Januszewski, Kiyoko 0.95 2020
164377824 Amelio, Yair 3.31 2020
164381910 Andrachak, Latasha 0.76 2021
164383041 Oster, Veena 2.17 2018
164391144 Kadow, Therese 4.04 2019
164402498 Donelson, Rosari 0.21 2021
164409276 Laporte, Yaping 3.44 2022
164422380 Talamo, Geoffrey 0.38 2022
164440820 Gurski, Maik 3.25 2021
164443566 Ellifritz, Laurencia 3.15 2022
164452977 Brancanto, Tinka 4.94 2022
164457157 Bohmann, Cathryn 4.65 2019
164463002 Lowenthal, Eliu 1.24 2021
164475589 Gisondi, Geeta 1.47 2018
164480466 Chappan, Ionut 3.77 2018
164483754 Smaller, Prudenciano 1.64 2022
164484396 Kreisman, Abdesamad 0.91 2022
164491929 Korbel, Choaib 0.53 2020
164501720 Torrent, Alberico 2.85 2021
164515546 Rollag, Eldora 3.71 2021
164526873 Bennin, Lucindo 2.40 2018
164529396 Kogel, Morton 4.57 2020
164533587 Suggitt, Nouhou 0.72 2019
164536527 Pautz, Fangfang 0.43 2019
164549692 Baremore, Toshiko 4.17 2019
164554785 Decenzo, Bienvenida 3.60 2022
164563485 Fleischhacker, Ulpiana 3.04 2019
164577330 Sackal, Jenara 4.50 2019
164582891 Mccaskey, Sanora 4.95 2019
164587248 Whittenberg, Nasera 2.07 2020
164592299 Barfoot, Harland 2.97 2022
164619014 Laich, Jounaida 3.78 2020
164638712 Edgmon, Miruna 3.13 2019
164639853 Moevao, Arhimo 2.16 2019
164640535 Gibert, Jamaa 1.69 2020
164651036 Hipwell, Evia 3.95 2021
164654546 Tauares, Savita 1.39 2021
164664449 Hubbard, Xudong 1.28 2019
164665038 Eilders, Abdelbasset 1.21 2018
164668312 Hachez, Rosa 4.87 2019
164676678 Notarnicola, Carma 4.36 2018
164684962 Castleberry, Iosu 2.34 2022
164686741 Naas, Ronni 0.30 2022
164698707 Rueger, Ermesinda 0.18 2019
164698642 Ingran, España 2.14 2021
164703381 Emswiler, Rahman 4.64 2021
164706079 Tiry, Ibrahim 4.78 2019
164706335 Dubey, Yee 1.65 2022
164721185 Vind, Kintuillang 4.18 2021
164736216 Pietz, Nicusor 1.56 2022
164740460 Addo, Gytis 0.67 2021
164747781 Lochen, Veaceslav 3.00 2020
164754328 Nirenberg, Sidi 3.65 2020
164781788 Birman, Dailyn 3.32 2020
164782232 Shannon, Rosauro 1.03 2020
164803640 Torrens, Lilla 0.34 2018
164806025 Fedderly, Ul 2.90 2019
164806130 Sagers, Ouafae 2.14 2021
164833607 Toews, Graciosa 3.69 2022
164870255 Paplow, Taanant 2.07 2022
164897522 Gouker, Salvino 4.71 2020
164902694 Zinz, Ellan 3.97 2022
164907229 Sitterding, Ylda 0.69 2018
164922230 Winget, Drew 1.41 2018
164930313 Gertel, Iago 3.22 2019
164940940 Lachowicz, Meaghan 2.75 2022
164964844 Blinka, Jhenny 4.07 2022
164969167 Stepler, Restituta 4.66 2020
165000127 Marson, Nut 2.10 2018
165004717 Micks, Virgilia 4.28 2020
165015507 Coatsworth, Suqin 2.49 2020
165042597 Cienfuegos, Geralda 3.46 2019
165042389 Honeywell, Ama 2.29 2021
165046515 Reddicks, Clorinda 0.10 2018
165063617 Kintzer, Patrici 2.07 2018
165067920 Rubinich, Marcelino 2.58 2022
165089337 Gerthung, Marlise 2.01 2022
165090336 Laite, Ailyn 4.96 2019
165094472 Bamfield, Halim 2.30 2020
165106675 Angelotti, Deneen 4.56 2020
165120415 Hornyak, Marioly 1.55 2020
165120070 Broaddus, Monty 1.67 2018
165139357 Katzenberg, Singh 0.21 2021
165146168 Cipullo, Casiodoro 3.85 2022
165148676 Treloar, Vance 1.31 2020
165149003 Petty, Fiodor 4.10 2019
165154854 Sanson, Rawda 1.12 2018
165187912 Kumfer, Roger 0.51 2018
165194804 Sciacchitano, Eusterio 3.82 2018
165198283 Pfnister, Gioconda 4.96 2019
165200958 Gladysz, Samya 3.45 2018
165205585 Feucht, Letha 0.34 2018
165214438 Gentges, Iciar 1.25 2020
165233372 Almanzar, Ange 4.45 2020
165241065 Montejano, Lashanda 2.74 2019
165253292 Klingbeil, Dorica 0.79 2022
165261880 Zuehlsdorff, Lara 4.96 2020
165266062 Mieras, Neila 4.43 2018
165295064 Schabes, Jinfeng 4.13 2019
165302015 Haustein, Hamlet 1.66 2019
165316273 Meredith, Nouhoum 4.80 2022
165318274 Ruthers, Waleska 4.77 2018
165322143 Zurowski, Aiste 1.38 2018
165323308 Rockford, Dorothy 4.75 2019
165332020 Vasconcellos, Kanwal 3.82 2018
165355288 Olshefski, Leone 3.16 2021
165373989 Skelley, Danijela 2.08 2021
165389921 Arelleano, Liuva 1.03 2018
165401291 Haga, Grace 1.10 2018
165411958 Zaborac, Eliana 1.54 2021
165452968 Hlad, Zoraida 3.47 2020
165476048 Mcphaul, Gui 2.48 2019
165481551 Hiltebeitel, Meire 2.21 2018
165485319 Beedoo, Ragnar 0.75 2021
165490583 Casewell, Anel 3.17 2022
165530483 Farrugia, Kenyetta 4.61 2018
165545690 Kempa, Antoanela 3.28 2018
165556959 Kuckens, Aurica 1.48 2021
165575149 Chavies, Yoro 0.32 2020
165607571 Mexicano, Wigberto 3.98 2019
165610491 Elguezabal, Rozanne 3.97 2018
165612390 Helman, Ibrar 3.45 2018
165612052 Nails, Abderrahmane 2.62 2018
165617292 Hylton, Yulong 2.89 2018
165621224 Symons, Brigita 3.65 2019
165646216 Haboush, Dobromir 4.35 2022
165658896 Devries, Amai 1.47 2020
165660781 Burget, Alis 1.51 2020
165663864 Naji, Nassira 1.94 2020
165674653 Buterbaugh, Bohdan 0.15 2018
165687527 Cicconi, Lifeng 3.76 2020
165703941 Timlin, Rie 4.12 2021
165723303 Livi, Iosu 3.30 2021
165734796 Haslett, Soledad 0.36 2019
165745561 Bevis, Willard 4.17 2018
165751827 Cibik, Nicolette 1.60 2018
165752919 Wiederhold, Roni 3.15 2019
165757838 Ambriz, Marcelo 2.87 2021
165760352 Piekarski, Botaina 3.75 2018
165765866 Flom, Leticia 2.04 2022
165769264 Villatora, Jeremy 1.42 2020
165774090 Kufalk, Marna 4.85 2018
165796989 Tullis, Fani 0.13 2020
165819514 Klaassen, Ajmal 1.52 2020
165823305 Gianelli, Lang 3.53 2022
165834370 Vagt, Hermeregildo 1.20 2021
165838039 Feindt, Marx 1.74 2018
165845166 Gudinas, Yasunari 0.43 2022
165847174 Fechter, Kamilah 4.35 2020
165868505 Harewood, Celenia 2.24 2021
165874574 Witzel, Victoriano 2.89 2020
165897771 Dolejsi, Todora 3.65 2022
165902625 Monfils, Josephina 2.13 2022
165903365 Rauschenbach, Yixuan 1.56 2019
165909857 Grussing, Rodulfo 0.38 2020
165943471 Marsee, Hamlet 3.79 2020
165969535 Stillie, Manfredo 1.41 2020
165979843 Eagleston, Farid 2.74 2019
165983098 Copelan, Evgueni 0.31 2019
165985822 Titch, Khadija 4.70 2020
165987121 Ness, Danyel 1.45 2022
166000353 Amsley, Frits 4.88 2021
166011820 Lotti, Atik 1.40 2022
166019600 Boschert, Aleisha 3.46 2018
166053424 Dronick, Victoria 0.36 2018
166061673 Rosenstock, Viviana 1.26 2021
166065254 Morano, Rayhan 0.33 2019
166067123 Elizalde, Edward 4.30 2019
166077863 Landrie, Guizlane 1.92 2020
166092412 Lauthern, Kin 2.11 2022
166107288 Resendes, Andrea 2.22 2020
166112744 Bertoni, Jacquelina 3.31 2022
166118824 Hadian, Abdelfettah 0.91 2022
166126007 Frittz, Daciana 2.88 2018
166141021 Gabourel, Yixuan 2.09 2020
166159907 Burruss, Mbemba 4.62 2020
166162470 Harrald, Abderrafia 3.35 2020
166177359 Kuritz, Protasio 2.39 2021
166181904 Hornstein, Gelu 0.25 2020
166182119 Sehrt, Selim 0.93 2021
166199672 Hushon, Librado 2.60 2019
166208903 Anderon, Hadilla 3.81 2022
166228342 Havermann, Friedhelm 2.02 2018
166239067 Macione, Arik 3.05 2021
166247587 Wiebers, Ribera 1.11 2018
166252707 Fleschner, Constancio 4.43 2020
166266888 Angeloff, Shonda 4.30 2021
166280478 Morence, Latosha 4.71 2021
166284436 Tatsak, Yureima 3.08 2021
166312595 Vahey, Yanay 0.74 2018
166316366 Arcilla, Latviešu 1.88 2019
166317471 Tidrington, Sanjaya 3.09 2020
166324827 Georgales, Ayleen 1.96 2019
166337030 Mcrea, Parwinder 3.80 2020
166346764 Minari, Donia 4.31 2020
166349328 Merriweather, Naima 3.70 2018
166352609 Conveniencia, Irish 4.20 2019
166355560 Struthers, Raleigh 4.79 2019
166356355 Gaylor, Ascension 1.89 2019
166359241 Johanson, Susie 0.63 2021
166366486 Hoxie, Bambi 0.20 2020
166371756 Houlberg, Hodaifa 4.90 2021
166375952 Paleo, Claustre 2.40 2021
166389082 Dickenson, Leontine 0.12 2022
166394293 Liddle, Yunyun 3.65 2022
166396570 Azimi, Melchor 3.85 2022
166411644 Reichardt, Mladen 2.31 2021
166414737 Pelligrino, Aintza 0.13 2018
166427244 Moles, Gianluigi 0.10 2018
166429860 Gales, Gorete 2.42 2019
166431854 Mucher, Nordin 3.73 2021
166446072 Reichler, Marlies 0.85 2020
166460317 Harthcock, Hodaifa 1.07 2018
166474871 Ittner, Shona 1.29 2018
166476911 Houser, Erling 4.05 2022
166477000 Ledgerwood, Boarisch 3.84 2021
166488604 Griffy, Contessa 1.00 2018
166509581 Spiering, Lakbir 2.94 2018
166518325 Honold, Pacifico 2.13 2021
166522294 Salveson, Bridget 3.67 2019
166522936 Porteous, Landing 4.00 2022
166536122 Loiko, Eluska 1.19 2021
166548774 Mckindra, Aboubakr 3.44 2020
166551756 Valek, Halim 2.46 2019
166558743 Dipietro, Ardell 2.33 2021
166586640 Starry, Terrie 4.96 2020
166595301 Devoss, Kamalia 4.59 2021
166599615 Bazinet, Luiz 1.91 2019
166601080 Minnerly, Erwan 3.38 2020
166611057 Harley, Gay 4.64 2019
166618109 Perrott, Keesha 2.66 2022
166620974 Nurnberger, Ramute 2.19 2021
166623869 Hohlt, Elaid 4.71 2020
166627818 Betancourt, Maximina 2.93 2020
166637416 Purvines, Yuderka 2.88 2021
166647932 Drost, Regla 1.35 2019
166647189 Mohorovich, Aitami 1.17 2020
166651789 Bies, Kristin 3.30 2021
166669384 Warman, Mariame 2.87 2019
166679461 Heifner, Ardis 0.84 2020
166681503 Feagin, Karrie 1.36 2022
166682693 Disalvi, Krastina 0.40 2020
166684762 Gehman, Lebdaoui 4.41 2021
166689059 Norquest, Weiqin 0.08 2018
166707007 Reisner, Hillary 4.06 2018
166718025 Barna, Donatella 3.19 2018
166742742 Spradley, Mamta 0.82 2018
166747796 Rayford, Silvio 1.55 2020
166752118 Farmar, Jovino 3.45 2018
166754389 Havermale, Kestutis 0.70 2022
166769974 Wheelis, Gustau 3.31 2018
166772168 Mochizuki, Hanza 1.31 2018
166784514 Huling, Laverne 3.82 2019
166843596 Vandevort, Shengli 0.12 2019
166866136 Cygan, Maxima 1.88 2022
166886265 Mcgrone, Wael 2.03 2021
166889559 Kopps, Malina 2.75 2022
166909475 Koewler, Jiancheng 3.62 2020
166917236 Schweigart, Loveth 4.06 2019
166941209 Hadfield, Suleica 4.77 2018
166958457 Noia, Xesca 3.56 2019
166961577 Hamparian, Marioara 0.81 2021
166966542 Zumpfe, Alton 4.75 2021
166974248 Hendriks, Edilma 2.07 2021
167010769 Kravitz, Noria 0.87 2018
167014977 Feagans, Fabrizio 0.63 2021
167020175 Naumes, Georgiev 4.60 2021
167037488 Henneberger, Jeraldine 3.76 2018
167041934 Chasser, Kadiatou 3.00 2019
167054477 Hollmann, Alphonso 4.73 2022
167056922 Schunk, Naceur 0.72 2022
167062220 Caringi, Limbert 0.56 2020
167080439 Atchison, Katiuscia 4.44 2019
167087743 Keliipio, Garfield 4.46 2019
167111491 Boudoin, Bisila 4.83 2018
167130902 Dekine, Mirari 1.67 2022
167142317 Makinen, Nutu 0.21 2021
167147320 Erie, Weiyan 3.99 2019
167174680 Marston, Abdeljabar 0.11 2021
167189538 Zawacki, Foad 4.81 2022
167211410 Fontelroy, Jordina 3.94 2020
167222895 Messing, Oliver 1.62 2022
167224814 Prospero, Jesenia 0.38 2018
167227113 Gruenberg, Roger 0.78 2018
167228168 Locey, Diouf 1.43 2018
167230265 Tagge, Judie 2.29 2022
167235017 Hazer, Yalile 1.24 2022
167249872 Toves, Luiza 0.34 2021
167251546 Weant, Sasha 4.12 2018
167263707 Morishita, Sigitas 0.52 2019
167265262 Dimpfl, Cassey 2.40 2020
167279811 Dattilio, Santino 0.13 2018
167296587 Books, Jadiya 3.32 2021
167297805 Strouth, Bingbing 4.14 2022
167304819 Ragins, Navid 4.45 2020
167309453 Lelah, Abdelaaziz 3.30 2020
167314774 Laurito, Youba 0.24 2019
167319937 Halfacre, Barbar 2.93 2021
167326424 Ahlgren, Aid 0.59 2021
167332154 Amith, Voichita 3.88 2022
167343957 Herder, Mikel 1.39 2018
167347891 Sauber, Xana 3.84 2019
167357089 Jaurez, Yonghai 3.37 2022
167357898 Dikeman, Xiaodong 1.78 2022
167359963 Mcaulay, Karim 0.10 2022
167369583 Fassnacht, Olguta 2.10 2020
167391125 Precythe, Darvin 1.85 2018
167395445 Sengstock, Vernell 0.89 2021
167396633 Hieatt, Issah 2.85 2022
167433942 Saccone, Nacira 0.46 2021
167456719 Boyter, Bilal 1.69 2019
167458801 Porrello, Denise 0.74 2019
167463570 Wolsdorf, Sica 1.84 2021
167476570 Goldfine, Miloud 0.93 2019
167483495 Fixico, Jamshed 3.64 2018
167486542 Jass, Eliam 0.75 2021
167488383 Fathree, Alba 4.70 2020
167494107 Icenhour, Toney 3.62 2018
167497028 Guridi, Florrie 4.64 2018
167509694 Liddy, Abdeljalil 4.91 2020
167513537 Palenik, Errol 3.08 2021
167527865 Stechuchak, Mehmed 2.91 2022
167539028 Wischmeyer, Conor 0.78 2019
167544401 Napoli, Sigfrid 3.83 2019
167545341 Edgecomb, Kasie 4.32 2018
167553353 Glawson, Rana 0.37 2022
167565447 Fialkowski, Salmane 3.27 2021
167571362 Roh, Mirentxu 2.49 2022
167585818 Mayhorn, Kely 3.42 2022
167589079 Gillert, Denver 3.38 2020
167590839 Boeri, Es 0.30 2018
167614454 Hester, Erling 2.41 2020
167619797 Boche, Abdelwahed 2.63 2018
167631736 Florea, Ognyan 0.54 2019
167669403 Knellinger, Bakartxo 4.44 2020
167687257 Corseri, Torcuata 4.17 2022
167690228 Lampke, Sorina 2.06 2018
167700338 Bertrano, Ivanca 3.27 2019
167724341 Maccabe, Malang 0.37 2018
167742701 Begnoche, Voica 3.65 2019
167743038 Jestis, Sira 1.37 2018
167749843 Lappi, Ouail 2.81 2021
167752066 Delprete, Shiela 3.86 2020
167773672 Compo, Cordelia 4.17 2022
167786786 Delos, Laie 1.68 2018
167788591 Boeshore, Bennacer 3.28 2022
167792328 Tomala, Claretta 1.73 2022
167803474 Ketelsen, Ennaji 4.42 2022
167811068 Preisinger, Alvina 2.76 2018
167827448 Bacak, Burgo 2.12 2019
167834605 Fleek, Deshawn 4.38 2018
167845717 Snoderly, Katixa 4.34 2022
167851876 Frett, Donette 3.65 2022
167884652 Kolbusz, Ezzahraa 1.30 2018
167892955 Lucky, Malina 1.92 2020
167892343 Cevallos, Myriam 3.14 2022
167911086 Altonen, Johnatan 0.02 2018
167915551 Kroh, Genevive 3.83 2020
167915317 Vitek, Merida 2.17 2020
167920423 Mancilla, Jasminka 1.53 2019
167924533 Krzeczkowski, Rosimeire 4.23 2019
167929025 Gholar, Avram 3.63 2019
167956924 Blochberger, Raimon 2.56 2020
167977631 Manners, Ouida 0.70 2021
167979542 Kufeldt, Christelle 4.40 2020
167996872 Bowland, Ohara 3.45 2019
168009891 Fernanders, Larysa 1.60 2021
168019879 Minear, Haimin 2.89 2018
168021006 Siprasoeuth, Sardar 3.19 2022
168022850 Gschwend, Laudelina 1.99 2021
168026254 Edelman, Haizene 0.04 2022
168034390 Turber, Dunixe 0.03 2020
168035116 Jacobos, Camilo 1.32 2018
168044041 Eckart, Ismaila 3.41 2019
168055243 Legace, Mui 4.76 2019
168067857 Chevez, Ansumana 4.60 2020
168071975 Nanas, Estivaliz 1.12 2021
168073499 Kilfoyle, Emerencia 3.69 2021
168078981 Cardy, Jingyi 3.27 2018
168102439 Debes, Rie 2.68 2020
168117116 Bowlick, Shadi 0.46 2019
168125346 Jaquet, Leya 3.01 2020
168142950 Goethals, Filipa 2.71 2022
168150761 Veals, Fenna 2.58 2018
168152861 Rulon, Yasmina 0.79 2018
168176958 Grosland, Darvin 1.87 2022
168180680 Dasher, Americo 3.84 2020
168192713 Crupe, Aurelio 0.13 2019
168200621 Coppersmith, Vitaliya 4.72 2022
168210236 Ragon, Eliu 0.23 2020
168220528 Londagin, Suping 1.18 2020
168233932 Schiess, Constantin 4.22 2020
168236979 Linck, Zhongping 4.47 2019
168247374 Gierling, Margherita 4.06 2020
168267446 Steeley, Domingas 2.65 2022
168289265 Theilen, Jani 1.51 2020
168298387 Pasana, Souadia 3.20 2022
168300021 Goude, Sheilah 3.57 2019
168314812 Haran, Shehzad 3.01 2019
168329322 Pierson, Devabhuti 4.27 2018
168332827 Coren, Hiromi 0.68 2020
168341775 Mclain, Terresa 3.30 2018
168342611 Pait, Prudenci 3.04 2021
168346899 Pabon, Djime 0.81 2021
168348528 Grober, Constanza 0.04 2020
168350190 Pinette, Felio 3.29 2022
168351189 Ostler, Saleck 3.81 2021
168359462 Roskowinski, Aitziber 3.29 2019
168360600 Clizbe, Akemi 2.48 2020
168383133 Fent, Pierre 0.63 2022
168389566 Muslim, Lorna 1.42 2018
168398602 Yovan, Bety 3.29 2018
168400613 Jauss, Gerald 2.00 2021
168420491 Tarrence, Jagdish 1.51 2021
168427045 Zahniser, Adah 0.82 2022
168447051 Stranford, Earlene 2.30 2020
168466978 Lemucchi, Sidaty 2.91 2022
168477413 Jaster, Ramin 2.44 2021
168490927 Soward, Beneharo 3.19 2018
168491125 Washum, Kauzar 1.16 2021
168498899 Mcsherry, Estudita 4.03 2022
168498043 Semon, Shiyong 0.85 2018
168500694 Diebol, Carola 1.75 2019
168501871 Large, Thamar 2.94 2020
168505651 Rapone, Robbie 0.20 2021
168515786 Lacio, Zlatka 2.76 2018
168537225 Hidden, Tambra 1.38 2021
168540559 Seawood, Rael 2.63 2018
168542561 Willimon, Petru 1.28 2019
168543335 Nemoede, Jeane 2.57 2020
168548733 Hargest, Annelise 4.32 2020
168553012 Ragazzo, Raducu 1.14 2021
168562123 Bandulin, Darwin 4.34 2022
168567407 Asencio, Guohong 4.38 2018
168571223 Badzinski, Robert 1.91 2022
168586302 Boesch, Housnia 0.91 2021
168593418 Hultman, Salama 3.50 2022
168596363 Bordenet, Teresita 1.90 2022
168601916 Luca, Arritxu 1.38 2018
168601573 Marden, Mahjouba 2.23 2020
168612379 Macurdy, Bilyana 1.97 2021
168654691 Havel, Yosua 0.88 2018
168656928 Minar, Boyka 1.71 2019
168657865 Swift, Zhong 0.65 2021
168669576 Gerney, Sukhvir 0.32 2020
168671765 Fredrick, Everette 3.21 2020
168677910 Nindorf, Idris 1.29 2019
168691774 Sanges, Yongmei 0.28 2021
168708970 Faul, Yajaira 4.13 2019
168711244 Purvines, Sukhwinder 0.02 2018
168711418 Waaga, Ruiying 4.47 2019
168717005 Jarnutowski, Seidu 2.83 2021
168734187 Hurley, Arno 4.53 2021
168736474 Nestico, Badiaa 0.22 2020
168737648 Kearin, Dioni 0.48 2019
168751952 Vancleave, Bethany 2.40 2019
168758487 Barlage, Telvina 1.01 2022
168764428 Ching, Axelle 0.00 2019
168765077 Seemer, Aniello 0.43 2019
168771336 Carmena, Stoyko 3.00 2021
168774642 Rogowski, Xiara 1.88 2022
168791765 Merrow, Maksymilian 1.02 2020
168808138 Cruikshank, Margarete 2.49 2018
168809124 Manne, Mariel 1.80 2020
168825908 Varnon, Ranjit 3.71 2020
168826168 Nevils, Becky 2.44 2020
168833941 Murchie, Suhua 2.40 2022
168839180 Gegenheimer, Shavon 1.82 2020
168875647 Ruthman, Ave 1.54 2021
168879769 Obrian, Gilberta 4.76 2019
168884330 Agreste, Jinyong 0.24 2020
168893835 Molgard, Mingming 0.87 2021
168901274 Ittner, Yassine 0.12 2021
168901609 Staudenmeier, Geralyn 4.37 2021
168906652 Clickner, Laurel 3.17 2022
168911581 Winans, Laye 3.83 2022
168912448 Hottes, Tawfiq 3.28 2020
168916424 Szabo, Dione 0.90 2020
168929125 Depew, Precious 0.05 2021
168931725 Shahinfar, Ieda 4.14 2019
168945753 Aultz, Terina 4.28 2022
168953811 Mascheck, Modou 0.77 2020
168964949 Arbuckle, Giovani 4.63 2022
168971720 Crask, Glenna 1.05 2021
168976522 Bialy, Susie 0.96 2020
168977716 Valdes, Petrona 2.78 2018
168996504 Gutches, Manding 2.22 2020
169011165 Zayas, Boubaker 0.81 2020
169014430 Frisella, Yaimara 2.50 2019
169021984 Mehserle, Shila 0.50 2018
169035175 Bouleris, Levani 3.45 2019
169045489 Quiralte, Loubna 3.50 2018
169049949 Bausman, Cosmina 0.82 2018
169070478 Dieter, Abdourahmane 4.18 2021
169087872 Luttrell, Maroa 0.13 2018
169087440 Thedford, Alfredia 3.76 2022
169089367 Turro, Xiaoyu 2.35 2019
169092037 Michelstein, Eladio 4.64 2022
169108673 Heitmann, Lijin 2.32 2021
169117173 Moseman, Bahram 4.30 2022
169118374 Twiford, Ashfaq 0.25 2021
169120014 Rahn, Bouazzaoui 2.91 2020
169130195 Mossman, Meiyun 2.00 2018
169144762 Sanger, Siyi 0.70 2019
169161386 Piccinone, Nanuli 2.21 2020
169173275 Chinni, Sherley 1.09 2021
169178127 Raj, Ney 2.95 2020
169184083 Yeaman, Emilia 1.56 2020
169188876 Height, Iraultza 4.04 2018
169189032 Granberry, Yrene 2.27 2021
169199356 Paulic, Antoliano 3.02 2018
169203434 Shadow, Aixa 1.04 2021
169205361 Guirgis, Gonçalo 3.14 2021
169209419 Yapp, Pavlin 2.65 2020
169219931 Jayo, Tonya 4.00 2018
169244525 Terres, Cuifen 0.38 2022
169245051 Reighley, Jannet 3.92 2022
169259856 Heppert, Rodolfo 3.96 2020
169261350 Kepler, Jade 1.59 2019
169276442 Citrin, Pool 1.51 2020
169277790 Palenzuela, Mingliang 1.79 2021
169312922 Newyear, Brendan 1.66 2019
169337884 Ottey, Dolores 3.10 2021
169340142 Repp, Edy 2.86 2018
169341753 Pinsonnault, Naceur 1.20 2022
169347850 Bohlsen, Chunyan 2.95 2019
169354383 Dogan, Huber 0.73 2020
169411148 Partee, King 1.63 2019
169425790 Reuven, Julissa 1.84 2022
169427712 Nashe, Ezekiel 4.72 2018
169429639 Englade, Smahan 4.27 2019
169441770 Sass, Nabar 4.50 2020
169444766 Hoeppner, Zeeshan 3.12 2022
169453253 Brockman, Deandrea 0.57 2018
169454077 Weissenbach, Kimberli 1.44 2018
169459794 Marson, Edison 3.39 2019
169466274 Prass, Willis 3.55 2022
169471711 Speyer, Ramona 2.59 2020
169475809 Rueckert, Olesia 0.27 2022
169487230 Howett, Celina 4.08 2022
169492404 Marson, Evencia 4.60 2020
169493372 Leskovec, Melody 4.69 2021
169507649 Roder, Chandra 0.79 2021
169509514 Whitebear, Noemi 2.83 2018
169513116 Strothman, Arkia 0.29 2018
169518038 Gushee, Poder 1.20 2019
169522162 Levie, Bidane 3.95 2022
169547122 Pavlik, Alaitz 0.37 2018
169560054 Corington, Arena 1.88 2019
169588678 Masucci, Rosenilda 0.93 2019
169597995 Derenzis, Meggan 2.60 2019
169601380 Capelo, Quiliano 0.64 2020
169603983 Eisensmith, Suihong 0.19 2020
169617631 Thaemert, Umair 3.98 2018
169620647 Liebermann, Klever 0.50 2018
169627167 Mastrelli, Sughran 2.85 2019
169631727 Berling, Evelynn 0.80 2019
169640784 Tranmer, Sirio 4.71 2020
169649612 Ostroski, Eutimia 0.60 2018
169652648 Mogannam, Abdennasar 0.76 2021
169705450 Bolf, Cristina 1.00 2020
169707867 Delargy, Siomara 4.09 2019
169712890 Pardo, Imane 4.05 2020
169712970 Engnath, Leonhard 1.72 2022
169716167 Swiss, Keanu 4.43 2020
169737785 Egbert, Ayat 3.35 2021
169756378 Manire, Wyatt 0.09 2020
169770484 Slotemaker, Mirjam 2.22 2018
169776084 Huska, Earleen 2.91 2019
169784592 Pickles, Arlene 3.62 2021
169807717 Kinnare, Attenery 3.77 2022
169813965 Carbajal, Jurgi 3.60 2021
169830709 Neighbours, Bryant 2.50 2022
169831982 Cyfers, Primiano 0.87 2020
169855305 Eicher, Fabriciano 0.92 2021
169856618 Sommons, Costinel 2.92 2021
169874399 Spriggins, Genara 4.79 2020
169875577 Cirocco, Albena 4.11 2018
169877834 Robyn, Arume 1.02 2022
