100000
354709573 Devonshire, Andoni 1.35 2020
680047750 Janey, Sherezade 2.98 2021
218559075 Sadvary, Maryann 3.74 2022
205380978 Laforce, Edenia 1.99 2021
331671652 Hammrich, Fatine 4.91 2018
195792267 Emziah, Sghir 0.09 2022
955221999 Bordeleau, Charkaoui 4.31 2018
227413932 Dimariano, Andersson 2.59 2020
312719941 Muma, Aguasantas 2.83 2022
258395933 Brenowitz, Madona 1.86 2020
021997753 Farbman, Naha 4.33 2020
823192261 Ortz, Reyad 4.80 2022
642459328 Swelgart, Presentacion 4.77 2018
544005748 Roat, Meriam 0.37 2018
942356786 Cahan, Sevastita 1.56 2020
156198847 Birenbaum, Apolo 1.11 2021
506126391 Bein, Omar 3.34 2020
248598849 Shaheed, Ondina 3.57 2018
553155954 Corbett, Hanza 3.03 2018
731763614 Trompeter, Françoise 3.75 2019
138306920 Fisk, Oum 3.78 2021
922212261 Lazaga, Neron 4.29 2020
079062922 Ethington, Weijian 0.79 2021
683765096 Duffield, Zorka 3.86 2021
728982504 Feuss, Basilia 3.42 2020
102820825 Swenk, Yiqiang 0.30 2019
963470804 Panarello, Argoitz 3.16 2020
790183628 Nitti, Celia 4.84 2020
748733696 Friskney, Mariñe 3.52 2020
311120335 Streiff, Noriko 1.55 2022
861898184 Rourk, Shalon 3.33 2019
225775219 Brogglin, Elma 3.59 2019
628393806 Vahey, Meg 3.76 2019
744539830 Mildenhall, Ariadne 4.38 2021
572881548 Splitt, Boyko 4.36 2022
506553140 Latendresse, Servulo 0.06 2021
521633033 Elger, Mikayel 3.96 2022
337596714 Gruenewald, Medou 4.26 2019
905272329 Capestany, Juaquin 2.46 2020
320794851 Quidas, Felicitas 3.78 2018
293705755 Miehe, Dulce 4.04 2019
220825071 Helke, Zhong 4.36 2019
376124325 Saik, Fallou 2.24 2019
063387634 Potaczala, Tasneem 0.40 2022
534073902 Lecocq, Dong 2.93 2022
012834491 Kinniburgh, Nayely 1.40 2021
163412756 Shelpman, Mijael 0.23 2019
011821060 Renneker, Macrino 1.52 2021
429001617 Augustson, Aizeti 2.78 2021
806618624 Wasik, Arnetta 2.96 2018
932529162 Augle, Khadiya 4.53 2019
639805615 Baba, Malam 2.57 2020
866581673 Hotalen, Airidas 4.32 2022
201361012 Such, Marton 1.93 2022
538771693 Gulinson, Liangfeng 0.47 2018
370790998 Huffstutter, Tula 1.07 2021
034364921 Magby, Bailo 4.67 2022
234505655 Kehn, Doralicia 3.46 2018
940150100 Stufflebeam, Zuleja 3.68 2019
599767963 Rodrigeuz, Terra 1.21 2018
894979164 Carcamo, Elna 2.82 2019
515110765 Lortie, Sukhjit 3.79 2020
003171694 Bershadsky, Makha 3.55 2021
109294522 Alexy, Yamel 0.43 2018
102094752 Chon, Benedikt 3.54 2018
652307530 Gains, Emy 2.00 2018
019287707 Pian, Martyna 1.46 2021
018750522 Hoff, Eloisa 4.52 2018
212003738 Brittian, Basiliso 3.67 2021
334541674 Falls, Myla 1.84 2022
154484537 Tavano, Taylor 4.05 2020
072542285 Dardagnac, Arfang 4.58 2018
353307634 Elpert, Lanell 0.22 2021
172818366 Johnshoy, Montserrat 4.89 2020
971382626 Keirns, Shela 3.11 2020
048194757 Kassner, Agnus 2.46 2020
106748285 Hevrin, Lucelly 2.56 2021
158494804 Cepero, Zaur 4.42 2021
550609132 Marflak, Jiawei 4.53 2018
714039325 Verano, Efrain 0.03 2018
021592795 Modin, Boutaina 1.00 2018
552552902 Burlando, Gyongyver 0.76 2019
664242327 Helo, Yiwei 4.10 2020
894606113 Tejeiro, Jillian 3.09 2020
976717667 Fedorko, Ethyl 1.85 2020
210483661 Eastling, Kenda 4.10 2018
626544726 Onsgard, Seila 4.12 2020
497770294 Dayal, Narcisa 2.03 2020
766796155 Eichner, Eduvijis 3.49 2021
939052061 Liebrecht, Reinel 4.31 2018
200782684 Nesline, Verna 4.45 2020
672257961 Mulliniks, Marene 3.54 2018
298131168 Felipa, Leland 0.61 2019
019197226 Riechman, Marena 4.91 2018
589782131 Child, Justiniana 2.48 2020
316309133 Huebner, Nuria 1.43 2022
398252521 Minato, Christos 2.99 2019
457007917 Newitt, Kerman 3.91 2020
358198779 Hwang, Xela 1.35 2019
298133690 Satterley, Clementa 3.82 2018
361040455 Hampshire, Hristov 2.17 2021
680911527 Skogen, Katalina 3.97 2021
427405199 Aceuedo, Zahraa 0.43 2018
436030307 Greczkowski, Ioana 0.12 2020
303917068 Casalenda, Lola 3.74 2022
385747040 Zyskowski, Fay 2.29 2018
160966619 Summers, Sajid 2.38 2018
992952437 Gaddie, Kaleem 2.46 2019
641188337 Loche, Jonai 4.20 2022
961536622 Ignowski, Arsela 2.37 2021
324621607 Woodlock, Cauzar 0.22 2021
342873278 Budke, Maximiliano 4.55 2020
958211396 Lick, Petrache 0.66 2020
937472264 Erker, Raphaela 0.16 2018
666649093 Mallahan, Xiaolan 2.59 2020
802276873 Hemker, Siranush 4.52 2022
645370331 Izzard, Yurii 2.56 2022
807883791 Casley, Adams 0.75 2019
469641641 Sartwell, Taylor 4.50 2020
802185816 Hiatt, Maimoun 3.62 2020
350768873 Morse, Rapita 3.41 2019
212629596 Eska, Kylee 4.42 2020
666082650 Blomberg, Izei 0.29 2018
710200383 Chuta, Sadaqat 3.66 2018
173301726 Teaff, Mbarka 1.38 2022
128165770 Edeline, Choumicha 1.91 2021
726257681 Hambleton, Gela 4.08 2021
317598835 Ahrendt, Eddy 3.22 2020
533986358 Raguay, Geertje 0.89 2021
568001069 Azore, Sharmila 3.31 2021
944797903 Gilhooley, Salvia 2.31 2022
475460370 Brueckner, Tanya 1.25 2019
320280229 Gofman, Kinga 3.04 2019
497239390 Amoss, Mayssa 3.37 2022
753607305 Rondon, Umer 1.22 2020
247395964 Hetling, Ilse 0.86 2022
268929280 Graue, Masum 0.53 2020
834934270 Stemmerman, Jurgita 2.66 2022
801202210 Duroseau, Abdul 0.98 2019
796587352 Johann, Costantin 1.60 2021
234433842 Sticker, Edel 3.21 2020
584368689 Wilsen, Brahima 4.72 2018
757958784 Ginocchio, Amapola 1.23 2022
678283972 Unrein, Bahiya 0.45 2020
345877428 Paruta, Clive 3.01 2022
544762259 Leger, Porsche 3.15 2022
108363968 Beile, Danelly 1.29 2021
303498252 Riegle, Sabah 3.93 2019
482541466 Neumeister, Edwar 1.92 2021
635529805 Bareilles, Om 0.25 2021
474985641 Geronimo, Maikol 1.22 2020
708685186 Sundby, Gurdeep 3.11 2021
768242973 Bramuchi, Suad 4.19 2019
407028854 Fear, Kees 0.16 2022
557716979 Clemmens, Patria 2.71 2019
307786608 Monell, Mercenario 2.64 2018
867397081 Siroky, Boyana 3.41 2018
757157578 Lindstrom, Yiwei 4.08 2020
268960067 Arras, Angelova 1.64 2020
828695350 Garett, Simy 1.37 2018
754998593 Stickney, Siny 2.45 2018
961685889 Schon, Lynda 3.70 2018
102546069 Boehler, Qin 1.87 2021
806181988 Arif, Zhiping 3.88 2022
926852104 Helfenstein, Kostas 3.28 2022
779971388 Taback, Arabi 0.89 2021
656321984 Sibbett, Joakin 1.79 2021
124409444 Shopbell, Gracie 0.47 2020
910644151 Joachin, Marceli 0.72 2021
103820757 Lords, Sabino 2.33 2022
655641734 Langston, Sushil 3.03 2022
601173326 Panepinto, Masse 2.69 2019
100605133 Dineen, Sage 3.04 2020
687182153 Sanmiguel, Gadea 1.87 2022
280920852 Krauss, Jaswant 2.33 2021
599691259 Vogtlin, Mady 1.35 2021
353174325 Raborn, Gurdip 3.83 2019
129254369 Pummell, Kimera 1.34 2020
945278270 Mccollister, Germana 4.84 2018
537541704 Florence, Yikai 0.98 2019
619586655 Spraggins, Serhiy 3.25 2018
150959128 Mulkins, Camilo 1.65 2020
964302651 Gran, Ahinoam 3.77 2021
120237104 Rubiano, Yanying 1.64 2020
196057958 Zacharias, Levi 3.03 2018
040357298 Pesto, Celsa 1.37 2022
548772456 Barda, Natalie 3.08 2020
061137684 Roughen, Ivone 3.25 2018
585440684 Ravenell, Latino 2.71 2020
732457362 Bonelli, Aleixo 3.08 2018
073670802 Bielby, Naseem 1.20 2021
558318583 Vaidya, Mindy 1.78 2022
932684843 Gonsalues, Ashlyn 0.84 2018
713054318 Farabaugh, Arik 0.30 2018
419956580 Mcconville, Harlan 0.33 2020
629626930 Perfect, Avelina 2.87 2018
784913823 Suman, Dancho 2.51 2019
294687878 Kenworthy, Lucrecio 3.37 2022
003517343 Sallade, Shuo 1.85 2021
147690962 Ostertag, Yonatan 0.05 2022
510134602 Serret, Gaspara 0.49 2021
415471134 Britton, Moustapha 2.10 2020
044552455 Hessling, Magen 4.57 2021
567417736 Clain, Argider 3.15 2019
971863602 Mihaliak, Anjelica 4.78 2022
826324467 Emmi, Domenico 0.81 2021
596647836 Ulich, Chang 3.20 2022
144136814 Neurohr, Maleni 1.07 2022
619909171 Philman, Przemyslaw 0.63 2021
165481625 Doerksen, Iulius 3.01 2021
928984122 Yaish, Janitz 0.37 2021
374149868 Sandoral, Benancio 3.71 2022
019631334 Gosnell, Arquimedes 2.58 2021
626621930 Blakey, Tamela 3.12 2018
512854599 Chrysler, Izarne 0.83 2022
945908834 Libman, Altaf 4.08 2019
278966279 Bertrano, Chabane 2.10 2020
122241311 Hocutt, Miro 1.21 2018
612438632 Tritsch, Fadia 2.14 2020
998186603 Christopoulos, Sorangel 3.69 2019
974404829 Boman, Badel 3.13 2020
602207394 Leab, Constante 4.21 2022
790539223 Laffey, Jesika 1.10 2022
864632708 Cayer, Nina 3.25 2022
277209961 Malkowski, Aidee 4.99 2020
987666187 Querio, Parvoleta 2.79 2019
131308515 Emberley, Jehova 0.48 2021
413739568 Linarez, Olympia 4.97 2022
880572458 Tucek, Bassou 3.42 2018
525545929 Junghans, Kristofer 2.76 2022
007027547 Gladfelter, Germaine 0.40 2019
787293805 Savitch, Edivia 3.51 2022
015735621 Iwaoka, Aquilino 0.18 2018
155606412 Yennard, Nerijus 2.78 2022
951235467 Scalzi, Dris 3.65 2019
019853124 Scarrow, Guillerme 4.44 2022
526151332 Pyer, Aurore 2.91 2020
028330211 Howry, Andriy 2.01 2018
774284894 Andresen, Progreso 3.57 2018
915126668 Turla, Begum 1.85 2022
130348056 Dughi, Virtuosa 1.05 2019
907495435 Rotando, Iddrisu 1.45 2019
755355852 Yetzer, Sheron 2.85 2021
829165495 Rueb, Ionatan 0.78 2020
597659278 Winegardner, Corayma 4.73 2022
781469502 Guttery, Andrada 1.70 2021
525089356 Landess, Abderahman 0.78 2019
504950931 Stroker, Marielena 0.07 2020
187861375 Anreozzi, Ablaye 2.27 2019
937542896 Loch, Dochia 2.30 2018
239681864 Zullig, Mincho 0.64 2021
340521976 Cannada, Elisia 2.52 2019
932781767 Rehnquist, Hend 2.79 2019
478990802 Opel, Boubaker 3.92 2018
862587760 Byrge, Ene 2.87 2022
635897011 Pfautz, Ebenezer 1.35 2021
970405348 Rehl, Jaouhara 3.69 2021
077627697 Ogden, Argenis 4.21 2021
019865766 Merson, Charity 3.64 2019
143163617 Pardall, Hyo 0.31 2021
735408988 Abrahamson, Jolita 3.54 2020
682164293 Mccay, Biel 1.43 2020
497572903 Schweigart, Piergiorgio 1.92 2022
249994348 Kimpton, Yenni 4.27 2022
035883655 Dreibelbis, Joakin 3.67 2022
703440639 Abdeldayen, Marquerite 1.89 2021
765480380 Delevik, Piero 1.72 2018
186949046 Schutzenhofer, Geri 2.54 2020
358209142 Rawhoof, Eugeniy 2.32 2022
963342433 Roemer, Christin 2.62 2019
939498510 Hay, Claudia 4.78 2018
499855555 Skilton, Tonya 3.89 2021
130385183 Hatcher, Lissette 2.57 2021
702664795 Jahn, Eufronio 4.51 2022
734417433 Hamann, Engracia 1.79 2020
512156537 Dunson, Amiel 4.79 2018
914194496 Schouten, Kelley 0.63 2022
033933551 Gouldie, Haiwei 4.25 2021
443004911 Hammatt, Rayane 3.54 2021
003092513 Shurkus, Culita 1.29 2018
923370357 Lenzi, Leilei 3.10 2018
769106652 Culberth, Lisett 4.09 2019
832883108 Strouth, Emilo 1.29 2018
031742259 Bowes, Badiaa 4.89 2019
900967369 Amento, Qinghua 1.69 2021
459182732 Epifano, Chafiaa 3.64 2022
908286004 Vivanco, Livius 3.29 2022
806033050 Akbar, Fahd 3.58 2021
394064439 Wilfred, Telma 0.84 2020
824299554 Ekhoff, Federic 1.17 2020
852420190 Polnau, Ronna 1.95 2022
933281333 Campoy, Arnetta 1.41 2019
872392459 Ghormley, Shandra 3.13 2020
510498695 Tepperberg, Narek 3.79 2021
508434749 Dettorre, Yoro 3.75 2018
869963392 Yarnall, Emilio 3.18 2019
135529009 Steininger, Yenni 4.02 2019
726632562 Nicolozakes, Jinlong 1.73 2021
564929846 Senko, Mohsen 1.09 2018
335325766 Delude, Franca 4.85 2022
788607824 Petkus, Ouiza 1.62 2018
985951699 Colmenares, Jhonatan 0.84 2021
543944733 Capriccioso, Concha 2.43 2022
687695858 Mutana, Sukhwinder 1.05 2021
766950734 Detmer, Lidan 3.42 2019
003957349 Mcmeen, Marianita 0.41 2020
429015840 Bartula, Salomia 4.03 2021
108325271 Bricknell, Ferran 1.97 2022
058070940 Mcpartlin, Yucheng 0.94 2021
331684835 Bruh, Eloise 4.70 2022
059429205 Saenphimmacha, Benardina 3.54 2022
433589959 Skillings, Chaxiraxi 0.05 2021
990048007 Manetta, Deseada 4.10 2018
020750701 Roszales, Sulaiman 1.50 2022
994800536 Krylo, Medou 2.02 2019
962499303 Winebarger, Temenuzhka 4.97 2018
045890516 Keenum, Damarys 0.67 2020
102151198 Murano, Canto 4.78 2022
671410284 Lazzell, Yinet 2.81 2021
209169263 Rowman, Eustaquio 0.65 2021
921454118 Lumbert, Zafira 2.06 2018
703944777 Whitesel, Castorina 0.27 2022
230727838 Stephans, Jhon 1.79 2021
322654151 Salaz, Amada 3.43 2018
864238023 Mconnell, Shuqin 4.44 2021
628233602 Bub, Luisina 4.14 2018
650553802 Bairam, Magdaleno 4.78 2022
238067995 Simar, Clamores 2.68 2020
000035465 Fadely, Bouazza 0.31 2018
500042540 Raimundo, Nickole 3.57 2021
619050430 Gettings, Jehan 3.87 2021
568793572 Hinderberger, Sua 3.25 2022
487701693 Yeeloy, Emeline 2.66 2018
960614935 Gallati, Andras 1.61 2022
619732763 Tamai, Isamar 0.43 2019
119930596 Camlin, Yuqin 2.83 2019
937321463 Sliker, Charlotte 4.81 2022
610640027 Bisbee, Quyen 4.82 2021
840941867 Chadsey, Esmelda 2.99 2022
695986079 Schellin, Karmel 3.06 2020
808107805 Bernadette, Benigna 0.89 2018
679647073 Kilberg, Joakim 2.48 2020
392226747 Taylan, Cesare 4.10 2020
175815859 Broad, Eugeniy 4.06 2022
173367389 Legleu, Xiue 2.20 2018
794550850 Demott, Matrikas 4.81 2019
995256131 Magedanz, Anri 0.35 2019
156837788 Maura, Ruslanas 4.67 2019
168381335 Spitznogle, Branimir 1.52 2019
515327927 Weilbacher, Martinho 0.00 2022
859374789 Gockerell, Tais 0.10 2019
432784939 Heyne, Sixte 4.18 2022
626261372 Neuburger, Azalea 2.45 2018
457989227 Rumberger, Deriman 0.82 2020
342319731 Silk, Rihab 3.65 2021
203188912 Seilheimer, Hripsime 0.70 2018
658768472 Agnelli, Lakeesha 2.19 2020
698397105 Herschelman, Massimo 0.75 2020
442437077 Isita, Itoitz 0.36 2022
571872844 Ligon, Samiha 2.28 2022
229821278 Kunselman, Wenxin 0.77 2022
021224293 Tucciarone, Siyu 3.18 2021
355680348 Rucky, Inara 1.96 2020
928560901 Stoyanoff, Brigita 3.44 2021
191082050 Salamon, Qin 1.26 2022
274676804 Westrum, Sayra 3.49 2022
562433806 Hislop, Kerman 1.18 2019
838583959 Boesen, Deyanira 2.65 2020
555983935 Outen, Fatoma 4.27 2022
972987293 Dekorte, Lokapala 4.16 2022
991115725 Donchatz, Latoya 3.94 2022
736595017 Garraway, Sadek 0.45 2021
571635334 Skowyra, Emeric 1.34 2019
111741726 Walwyn, Amancia 2.28 2021
546490127 Bodell, Abderrezzak 2.91 2022
807122300 Snetting, Presentacio 2.49 2018
675269532 Thurby, Indhara 0.52 2021
344232402 Mealy, Mileidys 0.72 2021
138380249 Arraiol, Belva 4.15 2022
991338164 Medoff, Brugues 3.60 2020
848424922 Rydman, Eustoquio 3.38 2018
955352902 Barthol, Jammie 0.82 2022
519966214 Pachlin, Anastasia 2.92 2020
498682544 Ecklund, Laina 0.49 2018
606086586 Allaman, Zsuzsanna 0.71 2021
231888304 Haq, Cherno 3.75 2020
011867482 Cowser, Eusiquio 3.06 2021
878580398 Greem, Sire 4.51 2020
506635544 Marandola, Nelo 0.22 2018
769080757 Lamantagne, Stefany 1.20 2021
625766059 Miyasaka, Ahlam 3.46 2020
061366732 Parlow, Tiberio 0.15 2019
193351193 Seate, Burt 2.15 2019
141332750 Sneath, Donelio 2.60 2018
526177222 Verkuilen, Marlise 3.39 2018
672112751 Pescador, Khira 0.47 2018
793590073 Rawhouser, Fengying 4.31 2019
666175154 Hinote, Shaira 1.83 2018
546371676 Caston, Stanka 2.08 2021
799966376 Yamakawa, Ka 2.30 2021
813494771 Macall, Leiza 0.45 2021
486694305 Medland, Nit 0.18 2018
563563651 Cossaboon, Gaumet 0.75 2021
963044557 Flieller, Damiana 1.55 2019
343580870 Leipold, Elzbieta 1.11 2019
356054985 Capezzuto, Chahrazed 0.00 2021
214969012 Kabala, Rupinder 3.81 2021
064154414 Cockrum, Sandel 3.27 2020
115607342 Smithingell, Boleslaw 3.36 2021
260364256 Byran, Gibril 4.83 2022
218736158 Fiesel, Akvile 3.53 2019
082366264 Barson, Yaoyao 0.28 2019
881467156 Koester, Izabella 0.42 2018
411123937 Secundo, Suleica 1.29 2019
996712629 Musni, Weihao 0.23 2018
259017716 Kroells, Micki 0.77 2020
965543427 Gronstal, Magencia 4.38 2022
813519595 Gibbon, Abdelelah 1.82 2021
134373009 Dibrito, Esma 2.89 2022
832578992 Quezad, Cuauhtemoc 2.10 2022
400759775 Mcclatcher, Suzana 4.51 2021
918575186 Soun, Andreea 4.01 2021
439991740 Pascual, Marisabel 2.09 2018
859997965 Helmers, Ivana 1.10 2018
476541515 Diegidio, Candice 0.36 2022
124500068 Clowney, Natashia 3.11 2020
149005097 Saraiva, Vanessa 4.94 2020
910377016 Larey, Edward 0.67 2022
792349461 Finnen, Meriam 2.98 2020
862554794 Pineault, Nilza 3.21 2020
980896403 Petges, Kinza 3.25 2020
151827010 Devane, Roscoe 2.66 2022
230246726 Procsal, Fuente 3.95 2022
371249497 Barbor, Christelle 0.76 2022
858387638 Burnet, Xiaohua 3.67 2019
544801517 Wiles, Nimra 3.50 2020
929041752 Colsch, Garofita 0.64 2018
041717475 Galetta, Diko 4.98 2021
805551961 Forsmark, Lanny 4.91 2020
435487367 Carabajal, Alexandr 1.65 2018
032119858 Orobona, Jaira 2.45 2018
331504571 Pallesen, Gerai 0.20 2021
986114425 Penepent, Kerena 4.10 2019
424074787 Godfrey, Dairen 4.55 2018
256363146 Inglin, Aroua 0.72 2021
983350495 Singco, Sahil 3.15 2018
818995869 Bixler, Dombina 0.55 2020
233531088 Puffett, Rodney 2.38 2019
340862466 Samaan, Norhan 1.43 2019
964815951 Strnad, Dean 1.06 2020
877450807 Gatwood, Hlalia 1.84 2018
903621205 Petrovits, Liping 1.93 2022
920800172 Hindsman, Fadrique 2.37 2019
343870851 Balafoutas, Sanoussy 1.48 2020
339478397 Vizard, Shuangjun 3.00 2019
945765838 Curameng, Sibisse 0.76 2019
865686773 Yeargin, Zulima 2.31 2019
675528037 Crofoot, Mareme 4.50 2020
364866468 Romanello, Araiz 0.91 2020
307980337 Mcfall, Saul 4.64 2018
098284444 Siner, Benet 2.30 2019
656723569 Cepin, Marouan 1.05 2020
183907900 Reiber, Henri 1.50 2018
433139166 Latassa, Yunan 0.76 2022
925965485 Zaborowski, Cautar 4.56 2020
066134506 Ahearn, Saida 1.99 2018
100762174 Callendar, Georgiann 3.53 2021
705344148 Veerkamp, Houssien 3.98 2019
441629262 Ackley, Cornelia 1.75 2022
705036656 Neese, Maricica 3.47 2022
095692738 Gotta, Yiwei 2.80 2019
544472107 Breitenbach, Seymour 4.98 2018
081365488 Birts, Boualam 4.40 2020
782146307 Adkison, Mapenda 2.21 2019
007477071 Toki, Marco 1.38 2021
046107024 Spraggins, Collins 1.36 2022
770251978 Pauda, Mercedes 1.42 2020
346261649 Sandlin, Zhora 2.00 2018
826741713 Keels, Valery 1.55 2020
999117794 Hilleman, Souaad 1.53 2018
786294413 Allamon, Kawthar 3.08 2021
547318567 Pratts, Vaiva 3.46 2019
889977753 Allstott, Wlodzimierz 4.21 2018
025947871 Karwowski, Akram 0.23 2020
573634834 Hohaia, Saroa 2.92 2022
849944604 Plateros, Iray 3.73 2022
288071383 Shambley, Garnik 1.53 2018
650209366 Decost, Ionut 0.96 2018
233432457 Grubman, Vitorina 4.03 2020
574155848 Janczak, Aron 0.58 2020
921296866 Giovanelli, Kapila 3.19 2022
881269854 Aswegan, Jean-François 1.60 2020
876661854 Bosse, Abdelkamel 1.87 2018
849743857 Lease, Haijuan 2.53 2022
534876417 Lelonek, Sira 0.57 2020
839236655 Barasch, Adorinda 2.94 2022
037808211 Hammerstrom, Segismundo 4.68 2020
511338720 Sturghill, Kiro 1.49 2019
000748046 Goodland, Nazma 2.14 2018
699218288 Rindler, Rufina 3.44 2019
227107573 Hormuth, Audria 3.76 2021
967322605 Ransdell, Italo 3.35 2018
263172626 Burwinkel, D'Assis 3.14 2020
790315669 Mchan, Jovana 3.76 2022
280387218 Hypes, Islam 4.52 2018
229993968 Jaques, Mercedez 4.77 2018
017197688 Wexell, Chunping 1.50 2022
763861844 Gossin, Rukhsana 0.66 2022
682843545 Bordeaux, Verisima 0.13 2020
427281672 Lokken, Ludivino 4.90 2019
088978309 Fioravanti, Kimberley 0.90 2022
116544774 Saxinger, Khadem 2.09 2018
708901904 Curnutte, Ampelio 2.83 2021
348308450 Minnis, Cita 0.89 2022
543949233 Delvalle, Ascensio 0.95 2020
426246489 Schuckert, Merieme 3.73 2022
171955207 Harbour, Estel 3.78 2018
367871686 Furutani, Dahou 4.13 2018
121023214 Devenport, Khadijatou 2.83 2022
401561196 Koetter, Ianire 1.48 2018
004207430 Koshy, Adama 0.08 2019
503569039 Treakle, Gwendolyn 0.91 2018
688412390 Kabzinski, Nauman 2.65 2021
362908485 Berent, Yudelkis 0.04 2018
079982599 Woodle, Moreno 2.97 2019
891194339 Kleespies, Vaughn 1.80 2018
282947025 Renier, Tayri 2.61 2022
470616009 Sasson, Marly 4.39 2022
862567492 Summerset, Elizabeta 4.00 2019
601742118 Kauffman, Changchun 2.94 2019
136378005 Marbury, Melca 3.84 2021
373571805 Shearier, Dorothee 3.40 2020
273159954 Orlinski, Zdzislaw 0.84 2019
474301165 Pursel, Richar 0.10 2022
315601978 Forbach, Phylis 2.43 2020
310946386 Aliaga, Wasila 3.97 2022
593967387 Cassello, Saroa 1.77 2021
793482037 Seabold, Darya 2.63 2021
675222803 Layher, Afrodisio 3.17 2022
363748859 Liborio, Salena 3.60 2021
360437950 Romaro, Samiya 2.59 2018
952750860 Mccarte, Aldana 4.15 2020
694258864 Farler, Dragos 3.41 2021
210328550 Deprizio, Dilia 0.73 2021
291885158 Lai, Hanza 1.79 2020
232361546 Dambra, Doru 0.32 2022
927099358 Willars, Agnelio 1.82 2021
140212432 Geeding, Mizanur 3.70 2021
107312604 Cuccaro, Dalibor 4.06 2018
954096599 Mcgahee, Nidia 0.84 2021
395800662 Kagle, Job 4.27 2021
572023210 Balladares, Bentor 2.86 2021
537834487 Leviner, Maarten 4.13 2019
017996558 Sperbeck, Zulay 3.83 2019
013686007 Osmers, Marty 1.63 2019
380267494 Hazy, Christian 4.44 2022
316536113 Wickman, Ram 1.77 2021
072285472 Mcgibbon, Denzel 4.31 2022
203509346 Mancill, Alisea 0.90 2019
011124699 Chiong, Melinda 4.85 2019
387036519 Staal, Arshak 0.43 2022
071921535 Anneler, Ji 1.95 2021
916866251 Grundmeier, Artem 3.49 2020
696061424 Decato, Bao 1.19 2020
701108708 Chafin, Naara 0.58 2018
900143764 Arleth, Eugenia 4.03 2020
253790127 Sinstack, Wijdan 1.05 2019
887747827 Nattress, Mason 0.58 2021
832702122 Oliveres, Dirce 4.99 2019
713907226 Locy, Eder 0.01 2022
324184979 Calcara, Hamma 0.83 2018
389508496 Crego, Xenia 0.06 2018
569599290 Cassius, Karle 1.54 2021
514244256 Burleigh, Paquita 2.31 2020
234875133 Demarino, Lhoucine 4.34 2021
312309950 Gamache, Nedyalko 3.28 2019
357160327 Wirtjes, Adrianne 0.22 2020
792529912 Buchli, Jakub 0.23 2020
543709587 Mclendon, Qiang 4.01 2020
127779413 Heiman, Monte 1.20 2021
488919188 Felsenthal, Lica 3.55 2020
373948695 Paluch, Natela 4.69 2020
326810659 Shasteen, Maryann 4.09 2021
430499161 Aures, Siqi 0.71 2020
690203304 Lyken, Elissa 0.84 2021
757927803 Somera, Ainize 0.69 2019
118848529 Swarat, Esosa 2.81 2019
061648971 Brincat, Celine 3.43 2019
309545646 Moccia, Vashti 3.89 2022
642859446 Bloedel, Katrina 2.53 2019
264548213 Vivier, Estefana 3.83 2020
684057856 Caldoron, Nica 0.62 2018
023985811 Rian, Manjeet 2.29 2018
145377849 Sondrup, Waneta 3.07 2022
603312854 Bjornberg, Promise 0.53 2018
389717714 Bramwell, Madrona 0.75 2018
605740755 Dornellas, Mehboob 3.85 2022
910034963 Minarcik, Abdellilah 3.74 2020
145826992 Justice, Hamoudi 2.58 2019
394708921 Windholz, Finnian 2.39 2018
158790152 Sterback, Adil 0.43 2021
279059419 Shatrau, Lizi 0.52 2021
472855613 Dago, Teisha 4.18 2021
240098990 Allums, Trey 2.27 2019
148976400 Bruney, Anders 1.92 2022
471129719 Sherrow, Tere 3.47 2019
135322062 Steinmiller, Deiane 4.03 2018
027682729 Angerman, Maravilla 2.32 2018
247824636 Hinostroza, Jhonattan 0.36 2019
075399573 Cogley, Presentina 3.34 2022
420504595 Wolfgram, Rosie 1.83 2021
302918563 Michalicek, Tania 3.62 2018
938186080 Doskocil, Lino 3.19 2019
536894020 Mcbain, Kerman 3.23 2018
989817156 Swenk, Abdelhak 1.32 2018
228728120 Caparelli, Marciala 1.03 2019
839204090 Stanway, Dumitrel 3.98 2022
324678368 Neuhaus, Editha 1.38 2021
907283061 Staten, Maqsood 4.30 2018
595240211 Exum, Gibril 4.12 2022
103994768 Shields, Atilio 0.15 2022
159765456 Raptis, Mehdi 2.84 2019
022238426 Megginson, Verdell 0.16 2019
866957501 Sandlin, Hayar 2.80 2019
256610712 Punihaole, Petter 1.75 2019
568769145 Reynvaan, Anitra 3.15 2018
230196326 Chavies, Kala 4.41 2018
244825804 Lyerly, Mery 4.87 2020
351960210 Sharpton, Lixia 0.86 2022
685532025 Auger, Shona 0.86 2022
505320477 Hauben, Armenio 4.32 2020
195334368 Takeshita, Gerard 3.04 2018
137761258 Arrezola, Arvid 0.49 2020
554846309 Katzberg, Xiaoshuang 3.24 2022
194990015 Teele, Samou 3.79 2019
902881216 Aradanas, Jacquelynn 4.81 2022
229287006 Zimmerebner, Bekkay 2.21 2020
345619860 Arciba, Zhaira 0.81 2020
754243480 Dano, Ernie 3.74 2019
814281471 Hogsett, Prado 1.08 2020
284870381 Honour, Mistie 0.45 2018
228369303 Bugg, Yingjie 0.52 2022
896569731 Whitset, Louann 2.77 2020
576529444 Azulay, Toby 2.46 2019
902576024 Bey, Willi 1.81 2022
412316003 Lina, Tiesha 1.15 2019
081871842 Paskin, Uladzimir 1.96 2019
849084111 Kormos, Zhiwei 1.92 2018
138962526 Parido, Riva 0.81 2018
