100000
852415188 Landavazo, Huiying 0.05 2020
499537332 Reynoza, Pok 4.90 2022
532404158 Chivers, Sopio 3.01 2020
348406394 Wegman, Xira 1.58 2022
382508418 Dinkin, Beverly 2.03 2020
139180969 Naifeh, Ramin 0.35 2018
753666395 Weed, Clarita 1.13 2018
160720869 Burnias, Khira 2.30 2022
584907963 Cornely, Hafssa 4.03 2020
090891553 Saks, Cori 4.19 2022
148003430 Fankhauser, Casey 2.34 2018
232142174 Schirtzinger, Wilson 4.89 2021
780522173 Symmes, Jinhua 3.12 2020
479257966 Magsby, Khadjou 4.38 2022
875140689 Sgammato, Evolet 2.98 2021
275761346 Palermo, Reginald 0.42 2022
633439752 Shape, Lixiao 2.44 2022
444217135 Stackhouse, Dorica 2.04 2019
189659300 Keator, Betlem 3.36 2021
901827794 Nixion, Ademir 0.71 2018
819550038 Puehler, Leeann 3.20 2022
859576816 Sanderson, Aldegunda 3.74 2019
584956645 Frear, Eldora 3.98 2020
081124851 Lunday, Yuliet 4.85 2021
051305805 Volking, Espiritu 2.92 2021
537594554 Couley, Elly 3.58 2020
378148398 Hoeke, Tsenka 4.68 2021
301705852 Boehning, Isicio 4.48 2018
199327789 Konigsberg, Colin 0.64 2018
506713092 Sahni, Paris 4.37 2021
115433189 Bisagna, Chao 5.00 2018
335602957 Sipes, Cvetan 3.98 2020
976234350 Forgione, Robledo 2.78 2018
950493501 Eye, Vanyo 4.71 2018
243583215 Navejas, Joyce 2.35 2018
286110969 Thygerson, Hermogenes 2.58 2019
772016132 Seavers, Derek 2.42 2022
998348430 Valderamo, Aytami 4.05 2021
160507644 Confalone, Gurinder 1.04 2018
341198677 Schreifels, Oiane 1.18 2019
310685994 Arkenberg, Yonghua 4.78 2018
812186851 Donato, Ayhan 0.53 2021
726869510 Hovarter, Yan 0.11 2020
351715214 Granes, Mahamadou 2.10 2021
172083404 Trejos, Brianda 3.37 2020
218718201 Elshant, Elaine 0.71 2019
224306562 Spraker, Tinca 2.10 2022
206991349 Beirise, Amalfi 0.51 2021
433460673 Jupiter, Virgen 3.13 2022
970359494 Diogo, Taimoor 3.16 2019
699508554 Rollheiser, Endurance 1.58 2018
979288932 Bang, Angella 1.42 2022
887824866 Yott, Yixin 0.89 2022
549820998 Guenther, Manoel 1.90 2019
412987515 Cavaluzzi, Rumilda 3.78 2019
133214439 Lavergne, Marlies 1.32 2022
362313684 Patete, Calina 2.73 2020
734896468 Balistreri, Haridian 2.73 2020
786701551 Simcoe, Houssnia 2.70 2020
952231697 Rhodus, Sanyaia 3.23 2020
248731117 Lezon, Courtney 3.56 2018
221168426 Holizna, Conrad 4.84 2022
675353894 Jimmison, Thais 1.40 2018
011609007 Crotzer, Hatou 4.13 2021
568044313 Sanchious, Izai 1.03 2020
886742784 Fransen, Samer 1.50 2018
204126180 Noftsger, Abdelaati 3.85 2019
557095843 Tovmasyan, Nirmal 2.79 2022
699001515 Dutchess, Yony 3.78 2021
018652108 Zolocsik, Najib 2.47 2021
804040373 Obermeyer, Ania 2.80 2022
455482599 Locke, Avetik 1.02 2022
436276906 Feagan, Oscar 2.82 2020
659096811 Gapp, Aniol 2.40 2019
304378395 Breaud, Josette 2.42 2018
626259820 Ruesink, Keneth 0.36 2022
075991778 Bolar, Luke 0.18 2022
521632072 Levien, Orentino 2.51 2019
696180166 Partch, Magatte 1.25 2022
191960879 Witmer, Miriem 0.27 2021
686758332 Rodman, Yogesh 4.70 2020
044229389 Katowicz, Elicio 4.40 2020
032592512 Sanjabi, Konstantina 2.94 2019
583271747 Powell, Velizar 3.31 2022
627990213 Kobrin, Leonidas 2.42 2019
014228252 Prust, Adina 2.60 2018
875296399 Stenslie, Annamarie 1.03 2019
570843538 Lampkin, Svetlana 1.14 2018
200397370 Dobey, Yongjie 2.21 2020
999331911 Singh, Inell 3.46 2022
245552648 Hinokawa, Yohan 2.91 2020
513784402 Maccormack, Coreen 4.18 2022
814286417 Gardenas, Arame 1.66 2020
131253424 Mccoin, Diosdado 0.80 2018
189815095 Rayl, Xeila 4.65 2021
364544365 Homma, Anastasios 1.06 2021
034885103 Gildon, Ylena 3.78 2021
406860815 Dornan, Varsha 4.03 2021
094204436 Kudro, Ezequiela 3.86 2019
493675115 Sault, Boguslawa 2.69 2021
252838706 Massman, Djeneba 1.81 2021
322275110 Salzar, Cedrick 2.20 2022
976319519 Dreese, Shona 1.79 2021
409437471 Jalonen, Xiaojie 3.46 2019
625747193 Laskowitz, Janie 1.91 2022
969346872 Delcarlo, Emilo 2.42 2021
381305319 Schechtman, Xuejing 3.54 2018
747620523 Plaisted, Reidun 0.71 2020
447328270 Baumler, Enna 2.44 2020
252043563 Westphalen, Margarita 3.34 2018
784956160 Dobine, Santas 1.36 2021
761893769 Walshe, Lissett 1.09 2022
143707732 Filler, Didina 3.42 2019
066187331 Janowski, Conny 4.34 2019
990929188 Bethley, Loan 1.01 2022
496642466 Risatti, Madicke 0.35 2021
361106689 Saia, Glicerio 0.73 2021
555800525 Duesing, Sudie 2.64 2018
480749000 Rudloff, Tabare 4.30 2021
523513934 Pitcak, Yeremi 0.66 2020
390729926 Ellrod, Serhiy 1.55 2020
073069111 Conti, Auxibio 0.56 2019
698197908 Stoutenger, Ouahida 3.16 2018
510331768 Lacount, Marisabel 1.92 2019
054912283 Welle, Melba 1.06 2020
400299541 Quick, Dimitrichka 1.19 2022
505967891 Pewitt, Ashton 1.09 2019
119272994 Placino, Diedra 0.95 2021
972329449 Arrance, Wesley 4.18 2021
633785975 Roher, Kari 0.45 2018
692841034 Fastic, Yuliya 1.93 2021
841594819 Winzer, Georgianne 4.34 2021
094486954 Denio, Eyal 2.04 2019
861939773 Banco, Xacobo 4.43 2022
621706215 Wintringham, Haley 3.94 2019
904070473 Keir, Marouane 2.88 2021
528549898 Louviere, Holley 3.72 2019
027444166 Vanaprasert, Satish 4.86 2021
862266307 Babington, Laurel 3.14 2022
621246294 Zuber, Janete 2.24 2019
476498421 Bredesen, Arona 2.06 2019
731304037 Riase, Makram 1.76 2019
075137985 Hazim, Assma 0.28 2022
857859159 Zeavala, Fayza 1.15 2019
597633477 Coston, Bose 0.15 2021
806351043 Dannunzio, Lyuben 0.56 2019
557150223 Barkema, Gandharva 3.95 2022
925621332 Flythe, Margaret 4.90 2019
622732579 Seacat, Veremundo 0.67 2022
036702322 Wagenblast, Ziad 1.88 2019
306067602 Spradley, Darinka 4.92 2021
443697737 Yee, Edicta 3.36 2022
910332453 Dohogne, Annelie 0.37 2020
871434309 Latko, Doris 0.24 2018
681554780 Kaetzel, Arnaitz 2.07 2020
238776333 Dillavou, Silvina 3.61 2021
886222997 Hubric, Yordanka 4.40 2022
493316481 Bail, Ivie 3.54 2018
882064199 Wilhide, Laurindo 0.04 2020
389038728 Schaufelberge, Airy 3.84 2021
153498572 Dehne, Munir 2.94 2020
906173759 Milazzo, Donya 2.82 2019
381853025 Zrimsek, Juventino 1.41 2022
660602068 Metia, Alvina 0.30 2022
152093424 Lanterman, Reginia 1.78 2018
672527662 Brak, Maddalen 2.09 2020
169627167 Mastrelli, Sughran 2.85 2019
189051396 Klemish, Fadiala 0.59 2022
433220705 Ayotte, Julieta 3.71 2021
609262367 Kotz, Laaziza 0.49 2021
754883847 Phelan, Rayner 4.78 2019
821341807 Buzza, Akmal 1.41 2022
940885344 Pattyre, Brett 3.75 2022
368971965 Poot, Yili 3.80 2022
090477691 Tayan, Tasnim 2.66 2018
833957883 Cerqueira, Khammar 4.88 2021
373331700 Keanum, Vivan 3.98 2020
583270955 Lanzilotta, Nasrin 4.79 2022
717426492 Benck, Lucina 0.78 2020
592059802 Glazewski, Jamina 2.31 2021
769948403 Pfirsch, Drazen 1.61 2020
872678751 Eichel, Yifeng 0.94 2018
328102313 Trillo, Hanibal 4.61 2021
490631611 Lanese, Samyra 4.66 2019
171318005 Horgan, Liang 4.23 2022
108380425 Cataquet, Moira 0.58 2021
689117992 Haessler, Flaviano 3.04 2021
155495189 Timblin, Geminiano 3.87 2021
695708610 Hermosura, Antoine 1.25 2022
473152901 Molock, Zsuzsanna 2.10 2018
979474333 Mangine, Teresia 4.28 2021
097450063 Riche, Yusra 3.72 2021
886729154 Littler, Derick 2.56 2018
591679566 Azzaro, Xi 2.87 2021
858656729 Donigan, Sebastiao 1.36 2018
521670655 Bonifield, Ceferino 3.91 2020
656364565 Conorich, Andros 3.43 2022
818061886 Mundorf, Larraine 3.31 2018
671651900 Panozzo, Evgeniy 3.11 2020
381498837 Mysinger, Kirian 0.13 2020
691849749 Larger, Luigia 3.24 2021
945126151 Wrightington, Mikola 2.64 2020
976778995 Karasek, Betzabe 0.55 2020
043063717 Ginsky, Nina 2.52 2019
712700273 Tuft, Hafssa 1.11 2020
586534872 Linero, Alan 1.77 2020
945826732 Sturiale, Ailen 1.10 2022
128259058 Forslund, Zeenat 3.65 2022
216007136 Glatter, Franchesca 2.24 2021
244602182 Musinski, Yadhira 4.29 2019
710689303 Kleman, Rebbeca 3.90 2018
230284632 Emilio, Leota 1.74 2022
148843961 Mcleskey, Hassna 1.29 2019
618567830 Prahm, Nerijus 0.35 2018
963212592 Strachn, Jeanne 4.43 2018
753127412 Mentnech, Jasim 2.95 2018
978015195 Sallach, Sokaina 2.43 2020
264385924 Sorrels, Souadia 3.27 2020
253433164 Ensign, Adonina 4.63 2021
457293892 Demetrakos, Hildegart 0.92 2019
014348279 Delozier, Allyson 4.78 2020
895583288 Deaquino, Dixie 2.20 2022
578041878 Nitzel, Begoñe 1.81 2020
924322673 Delbert, Sher 4.84 2021
560808052 Storm, Nathaniel 2.98 2019
966436309 Berne, Fiama 4.07 2021
407061231 Cimini, Anastassia 4.75 2018
625720465 Chapparo, Horatio 0.71 2018
977968749 Herdes, Alexandra 3.87 2018
203108209 Alegar, Ur 1.06 2018
738761513 Seldomridge, Haiyun 4.81 2022
658127669 Laschinger, Aymee 4.00 2021
496615594 Ruffino, Awatef 3.04 2020
495972804 Luevano, Dorinda 4.58 2021
629018849 Saisa, Helle 2.15 2020
376160281 Mosbarger, Noel 4.57 2022
744131943 Vasmadjides, Nicasia 3.89 2021
693570745 Galetti, Paulo 4.17 2020
601918379 Wegener, Corie 3.51 2019
455960433 Alton, Ataulfo 2.73 2022
812193785 Murrin, Keyla 1.68 2022
349783155 Buren, Saqlain 4.54 2018
910132828 Stieff, Siomara 2.93 2018
104122865 Casola, Holli 3.32 2018
906302993 Suyama, Fausto 0.98 2020
583423224 Betson, Leilei 0.80 2022
485533971 Didomenico, Dayara 5.00 2020
377096085 Zotos, Añes 1.77 2022
499483948 Mcmanis, Miledy 2.00 2019
050026762 Marsella, Cataldo 1.54 2022
452470436 Ferrara, Cari 2.20 2019
461860444 Ellingburg, Adelardo 4.04 2019
885742150 Anfinson, Faheem 4.71 2018
312176357 Clowes, Deogracia 0.87 2019
366020215 Wedman, Adina 3.85 2019
436352022 Watral, Salahdin 4.28 2018
182113775 Pergande, Alasana 3.40 2022
465001022 Podaras, Marylee 4.86 2020
389539714 Sperry, Linwei 2.82 2020
440720851 Polski, Presentina 1.23 2022
110058775 Mina, Resham 0.29 2021
310491748 Lukasiewicz, Yacoub 4.15 2020
144400730 Trinks, Esmeraldo 4.44 2021
657511761 Laliotis, Zosimo 1.48 2020
134227709 Curtner, Karyna 2.75 2021
047923492 Lengacher, Walfrido 3.07 2021
355133895 Delmuro, Prudenci 3.02 2022
217019232 Dorothy, Dustin 4.28 2021
059915051 Socci, Yaxin 1.53 2019
559599208 Shewmaker, Yongxin 2.02 2021
001197772 Fluellen, Castora 1.72 2020
041835827 Benitone, Naroa 4.48 2018
871343954 Star, Masum 0.96 2021
917548011 Fetz, Blythe 3.10 2018
556848248 Purpura, Ahmidou 4.68 2021
514720162 Waltho, Dionisia 1.48 2021
462784161 Falwell, Marianna 1.76 2022
643516015 Cranson, Zdenek 4.73 2020
875553268 Kingsbury, Markita 2.90 2021
880682184 Sarra, Boris 3.41 2021
133920443 Suman, Laritza 2.96 2022
717089061 Bliven, Brittaney 4.40 2018
699758577 Tellado, Dwana 0.67 2020
091676023 Doehring, Houssin 2.20 2021
399118420 Servatius, Pavlin 1.43 2022
898163579 Cvetkovic, Qunwei 3.71 2022
133240406 Basnett, Annika 4.08 2021
296176144 Buskirk, Yuniel 0.79 2019
052359717 Horal, Alyosha 0.33 2019
077052770 Carbajal, Heping 3.22 2018
057466988 Okura, Tullio 0.78 2018
791665257 Turrubiates, Tessa 4.95 2019
503731212 Mielkie, Andrii 2.13 2019
600763628 Urrea, Xinyan 4.35 2019
819390247 Zacharewicz, Tasnim 1.87 2021
027459871 Orgovan, Astghik 2.77 2021
397415454 Dumpert, Inha 1.92 2018
969383882 Doyan, Jewell 3.21 2020
379405388 Krupansky, Nourddin 1.88 2019
789713433 Deherrera, Pradiumna 0.36 2022
218992743 Serini, Iordana 3.01 2021
287907218 Brehony, Nonito 1.29 2022
421226936 Rygalski, Ahinoam 1.40 2019
521358067 Smythe, Usama 2.80 2021
171088006 Tagami, Tashina 4.29 2018
947341041 Venturino, Marilu 4.78 2020
960342189 Kolter, Elsy 4.46 2019
880274998 Hermann, Helaine 4.53 2022
215659633 Arent, Victory 2.21 2021
255203300 Iversen, Noaman 4.11 2020
810081691 Ueno, Krysten 3.40 2018
255467451 Readus, Yoan 3.62 2020
357725571 Araldi, Detra 4.88 2019
863658203 Speno, Torsten 2.07 2021
872521810 Filarecki, Ghazala 3.70 2020
905261351 Cotham, Douae 4.01 2020
313704470 Poss, Humaima 1.50 2019
741726525 Oyer, Moro 3.00 2021
269371761 Stechuchak, Gertude 4.18 2021
241647904 Ned, Caroyln 4.84 2021
757786001 Cortese, Sunil 1.95 2022
074266672 Paskow, Cornell 2.41 2018
673954996 Toscani, Benno 4.68 2019
375231424 Blacksher, Kacie 0.49 2020
741475883 Ghere, Jinfu 4.30 2019
817320763 Lenzini, Laurette 4.85 2022
479484744 Mealy, Kennedy 3.73 2019
734939830 Demar, Georgiann 4.42 2018
580185325 Montes, Ivanova 2.06 2020
969723814 Sneary, Braima 4.55 2020
432057966 Genia, Shamara 2.39 2020
784889540 Swartzell, Alfonzo 4.10 2021
091935758 Tyner, Wang 2.86 2019
018774594 Gennarelli, Kiesha 1.67 2019
964393019 Dekorte, Rolande 3.16 2021
287434187 Duperre, Saori 3.81 2020
247014709 Manger, Boyce 1.47 2019
850927003 Retchless, Barb 3.05 2022
243239037 Contofalsky, Luann 3.61 2020
714196116 Kiger, Ezzahra 0.55 2020
022862926 Sallade, Dior 2.24 2018
114128267 Kreischer, Kelli 4.52 2021
682059280 Hackford, Pacifica 4.36 2019
285945643 Annabel, Loralee 2.63 2020
887694694 Roaf, Eddie 4.60 2020
453004824 Demory, Kira 2.73 2021
114801851 Czapski, Kerry 3.98 2019
059747074 Daughterty, Suleica 3.85 2022
048921869 Dejes, Heath 4.26 2018
188489777 Kestle, Idoya 2.11 2021
710719911 Heims, Shaneka 0.54 2020
400833969 Brinsfield, Dajana 4.96 2022
458556280 Batala, Dimitra 3.69 2021
767489665 Lafontant, Jolanda 3.01 2020
284804585 Fralix, Lofti 4.62 2022
660440685 Bleimehl, Thuy 2.16 2022
793855929 Borne, Abdulah 1.71 2021
672000122 Furlow, Saloa 4.94 2018
861444444 Caito, Yongmei 2.93 2018
643859607 Alexis, Hai 0.91 2019
442859618 Quarnstrom, Athenea 0.11 2020
947721462 Suttell, Maroua 3.40 2021
362397209 Tuten, Wilver 4.17 2022
903621926 Tablada, Niculaie 1.11 2019
089693301 Hoskins, Lutgarda 3.48 2021
487820590 Papale, Florian 1.59 2019
586494191 Ozbun, Darek 4.93 2020
070154006 Leuters, Giampiero 2.85 2022
521951562 Hemp, Amable 4.01 2018
326277382 Atchison, Myra 2.68 2018
214567655 Falero, Ferreol 3.31 2021
762572688 Binet, Erminia 4.50 2020
903141877 Danziger, Emila 3.19 2019
397151036 Mitschke, Confesora 0.44 2022
412097104 Booze, Christy 1.46 2022
487716554 Rehmann, Mayssae 2.41 2021
704791227 Raudebaugh, Endurance 0.28 2022
228767486 Cumber, Hannelore 0.49 2021
234395065 Crissler, Kenisha 4.86 2020
195971669 Milley, Camino 4.32 2018
303818141 Lampinen, Asad 4.79 2019
117436807 Gloston, Snezha 1.06 2021
208634784 Winker, Kamran 2.29 2022
966234297 Shau, Lajos 0.32 2020
586581351 Knepp, Nereyda 0.04 2020
827863874 Reglin, Wilhelmus 1.20 2020
849196290 Cauffman, Ouissal 4.09 2021
707214124 Spoto, Elijah 2.64 2020
666270736 Syck, Eutiquio 0.01 2018
220405328 Binam, Iuliu 0.94 2020
526703842 Culp, Joshua 4.51 2018
097588733 Zielinski, Ilhem 2.59 2018
814621285 Santwire, Viva 3.03 2020
336371801 Szoke, Ilka 1.43 2020
796129246 Beaton, Lioubov 0.01 2018
587552104 Candon, Georgianne 4.38 2018
405895821 Kayat, Ondina 3.67 2021
095482731 Abbenante, Safia 4.41 2022
567523807 Fontanez, Sascha 0.59 2018
473166363 Accardo, Raducu 2.62 2018
938123985 Solera, Bryan 2.65 2022
228052941 Mazuo, Andronico 3.65 2018
545643490 Wingler, Aridian 4.59 2019
312664969 Sleight, Mogens 1.51 2019
931795640 Bram, Daiana 4.22 2018
634810560 Zirk, Edel 1.84 2018
837802205 Ballensky, Akier 4.62 2019
790769260 Tacheny, Cindi 0.19 2018
350070073 Sturiale, Bohdana 1.67 2019
875361452 Dagen, Hasnain 4.56 2018
537345353 Andreotti, Janko 3.18 2018
726831742 Cocola, Mahnoor 4.91 2018
662760181 Ladakakos, Barbra 3.07 2022
000524536 Bresse, Ambreen 3.44 2019
848027896 Ganoung, Guillermin 0.54 2018
245368969 Copeman, Florentin 4.52 2018
090265777 Sticklen, Deloise 2.67 2022
538533109 Witcher, Loralee 3.28 2018
787114330 Lavon, Nato 0.71 2020
419434770 Reiff, Filipe 1.95 2022
611754374 Crehan, Nadezda 2.52 2022
382969916 Secundo, Sulan 3.39 2021
466739808 Fitzmier, Nataraja 2.69 2022
543492763 Aboudi, Haiou 4.76 2021
489633002 Rocchio, Bartomeu 3.72 2021
946603055 Vandell, Petronela 0.52 2022
561213943 Aday, Ghazala 4.33 2019
227340076 Eastmond, Tracie 3.60 2018
487393939 Graham, Sheila 3.45 2022
551788198 Kimsey, Shamara 0.96 2019
659319600 Poskey, Qiaoyan 4.87 2022
028376346 Cantv, Marline 2.65 2018
317150764 Wilshire, Neyla 1.05 2018
197404502 Kamat, Ervin 1.27 2018
631478695 Marchione, Narine 4.58 2019
075203102 Seecharran, Brittaney 1.57 2021
523800026 Shunnarah, Lucitania 4.91 2022
332001224 Mateja, Clea 1.93 2021
025672989 Blowers, Chayma 0.67 2021
020672091 Presley, Bojan 3.23 2020
117788287 Euton, Florene 1.62 2021
565626013 Greaver, Kendal 4.75 2022
705710698 Huska, Galen 3.36 2022
520083064 Sustar, Lucinia 1.88 2022
502681678 Durick, Marth 4.41 2018
177877986 Masin, Eterio 4.51 2020
810015722 Zadorozny, Idella 3.88 2022
889419446 Childrey, Pep 0.72 2021
510415826 Phimpradapsy, Nannie 4.71 2021
181365476 Dunnam, Guofen 1.46 2020
289908349 Shufelt, Mihaly 3.06 2020
443056491 Futterman, Nayara 2.73 2018
186758550 Barris, Stefaniya 3.52 2020
231510784 Toporek, Liyong 0.48 2021
688670357 Didio, Maxim 4.17 2021
858301789 Rosich, Jenine 3.11 2019
745738338 Willborn, Maybell 3.15 2020
232447813 Ketring, Jennifer 3.84 2020
688073204 Skulski, Jerusalen 2.89 2022
542456219 Kamaka, Daphine 0.66 2018
624517869 Moceri, Cuifen 0.09 2018
823414515 Awkard, Claretha 3.27 2019
071894673 Iams, Antione 4.43 2019
126015122 Dlugos, Hongbin 0.03 2019
560931453 Cooch, Cuc 0.73 2021
797973844 Redhouse, Chabane 2.65 2019
907182171 Demopoulos, Micheal 4.14 2022
489165645 Brobst, Alpha 0.33 2021
239145430 Lindblom, Nazma 4.11 2021
624697605 Cinar, Alyssa 1.28 2020
452795179 Joki, Artak 2.35 2018
777221505 Coughenour, Yesmin 4.78 2018
667915759 Semmel, Lucille 3.82 2021
652838827 Siemonsma, Anahi 3.15 2020
385544558 Mendoza, Yanping 2.77 2018
727162408 Menner, Ye 4.45 2018
066730863 Jondahl, Briana 1.12 2021
666497297 Shoff, Deborah 0.57 2018
178490032 Bissette, Sumisa 0.17 2020
463974885 Waltzer, Petrache 2.89 2020
223565117 Thackston, Lowell 1.37 2019
169831982 Cyfers, Primiano 0.87 2020
363507360 Cadmen, Lewis 3.91 2019
474040757 Ferriman, Yorlady 1.68 2020
272427050 Wayts, Fausta 2.73 2019
393139925 Shreffler, Virgie 2.71 2022
829870438 Fleeman, Hiroshi 2.75 2019
014081471 Tatevosian, Cel 0.31 2021
237104054 Heidbreder, Abderrazzak 3.78 2022
335124579 Verros, Kenneth 3.18 2022
061662213 Brash, Saadia 3.82 2021
320256606 Campas, Amauri 1.47 2022
490841638 Burgos, Voichita 0.43 2022
863345393 Nissalke, Arola 4.57 2019
444256795 Egan, Franck 0.29 2018
072455261 Stainbach, Kala 1.28 2021
116178534 Hanchett, Maddie 2.30 2021
409057866 Lapuerta, Nouaman 4.26 2020
074300496 Anes, Aura 1.53 2022
401878145 Belancer, Esmelda 1.22 2020
578227555 Gaskell, Sirine 0.07 2021
022816922 Samuel, Mikola 3.09 2019
493844963 Lovera, Herlinda 3.43 2022
716403847 Boehmke, Iurie 1.41 2019
496897870 Hoeke, Zoubida 1.88 2021
717548573 Berlove, Rahela 2.16 2018
014464710 Grossman, Cinda 3.32 2019
624430882 Obeirne, Zoubir 2.23 2020
154584615 Lybarger, Abdu 0.46 2018
092653101 Francios, Lika 4.57 2018
005866664 Mucha, Agurtzane 4.48 2021
883815659 Cilibrasi, Shanika 3.44 2022
332913467 Pettaway, Elois 1.75 2021
043398549 Ludeke, Nayhara 2.84 2021
462567554 Ryder, Jasmeen 4.58 2022
806323662 Yonkoske, Adelina 2.30 2021
360042730 Saffel, Tish 1.01 2022
157180132 Pinsonneault, Porter 3.87 2022
894847346 Villaflor, Nedal 0.05 2022
900203766 Piltz, Fikret 3.93 2019
024195114 Herriott, Kirsty 4.17 2020
995842635 Browing, Raghu 2.54 2020
437896580 Saracco, Minghao 4.76 2019
157808700 Beguelin, Jonie 4.00 2021
811337053 Ricciardelli, Xiaohui 4.42 2018
413436526 Puccini, Mayelin 0.51 2020
517500842 Doran, Zhiguang 1.41 2022
694032855 Saltzgaber, Monfrague 0.65 2019
200222621 Schaefers, Rob 2.88 2020
294862039 Santander, Gexan 0.91 2021
109349537 Curra, Khammar 2.53 2020
950489505 Ebeling, Sana 3.81 2019
188711622 Weinreb, Qiang 1.80 2018
432484089 Maisenbacher, Arlette 4.76 2020
424796039 Caretto, Nihat 0.20 2020
115718099 Vibbard, Rubia 1.47 2019
636061941 Axley, Xinwei 4.54 2018
173676988 Wiens, Junfeng 3.62 2022
646407327 Cera, Violette 4.29 2019
925985599 Barrus, Deiby 3.85 2019
317681058 Consuegra, Claudina 3.78 2018
483763104 Hudach, Tinguaro 3.02 2021
688188424 Fuhriman, Venessa 3.39 2018
994924036 Bogue, Nosair 2.03 2021
837362656 Brodhag, Chavdar 1.95 2020
520533794 Ferdig, Zenoviy 4.42 2019
213806434 Arildsen, Sinforosa 0.61 2021
520180525 Swearengen, Francy 3.87 2020
862747023 Swierczek, Ashlyn 2.41 2021
010565522 Fife, Badi 3.18 2020
319030301 Compres, Chej 2.68 2022
209747328 Casdorph, Leendert 0.55 2022
904010977 Estremera, Pervez 4.87 2019
549343578 Brodhurst, Darrel 3.00 2018
515851230 Weisenberg, Zebenzuy 1.40 2019
992614067 Kahler, Bronwyn 2.54 2019
837807350 Folkner, Gentzane 4.91 2020
080517466 Ladnier, Arafat 1.71 2021
649904599 Seiersen, Benyamin 4.61 2018
652023234 Mcmorris, Sallam 4.48 2018
223409464 Landsaw, Eula 4.85 2018
663917714 Weiland, Pascale 0.87 2020
844912963 Jezierski, Kelvin 1.69 2020
504434213 Huell, Hadjira 3.39 2018
277179695 Ohlsen, Dolores 1.66 2021
014034061 Sothen, Collen 0.69 2018
137017964 Lada, Danuta 4.14 2020
909910893 Manokey, Somer 4.87 2019
108577960 Devai, Nevadita 2.23 2018
314716173 Zeilman, Nathalia 4.32 2018
851102520 Like, Mijail 1.42 2022
806867978 Kotschevar, Suleyman 1.93 2019
824042770 Pillo, Rosalia 1.95 2019
384401385 Rheingans, Faouzi 4.06 2018
302184570 Wilcoxson, Limpia 0.49 2020
094842666 Cushinberry, Joakin 0.63 2019
449592119 Eskelson, Jia 4.36 2020
850216731 Lasch, Meissa 4.19 2021
117861914 Herpolsheimer, Xiaopeng 3.68 2019
811295229 Schwandt, Houari 1.68 2022
313865806 Elsmore, Olesia 2.36 2020
070951000 Conkwright, Sare 3.74 2021
659009156 Holcroft, Rabii 0.50 2022
026993688 Marengo, Kader 1.16 2019
237947398 Marrazzo, Sabino 0.62 2022
548095377 Bundschuh, Blasa 3.75 2021
252570249 Bodenstein, Sonny 2.16 2021
649770612 Rosentrater, Shaolin 3.29 2021
902140929 Zannino, Tavita 3.73 2020
518716697 Clauson, Zaharia 2.45 2019
571746735 Hembrough, Rosalba 0.67 2021
455376365 Karma, Aleja 1.95 2019
974920605 Engeman, Saibo 0.77 2020
557596627 Doyscher, Gioacchino 2.25 2021
491914041 Blanco, Mjid 4.87 2019
934319776 Crumpacker, Herminsul 1.87 2020
399847067 Steibel, Caryl 4.26 2019
561996243 Bula, Rayner 1.35 2019
753312663 Mulinix, Gillen 0.85 2021
602063790 Aly, Naika 4.09 2022
377437851 Cusher, Aguasanta 4.81 2019
007059520 Kakowski, Armide 2.73 2019
923075421 Gremillion, Segundino 2.32 2022
606419267 Strysko, Isicio 4.18 2021
826910218 Delross, Lorine 2.06 2020
496126814 Dotterer, Marillac 1.85 2020
726448039 Dimitt, Najate 3.10 2020
181329999 Glasper, Guglielmo 4.86 2018
753969041 Cassin, Cecilie 3.27 2018
649201056 Brucculeri, Margret 4.24 2022
706187491 Sandy, Berezi 4.78 2022
939993951 Slaymaker, Mana 3.50 2022
236335437 Wisinski, Joycelyn 2.15 2019
366042230 Tanous, Daylos 2.20 2021
747760260 Hoare, Evangelina 1.16 2021
825998384 Orpin, Olimpia 2.80 2019
237016564 Blank, Ashanti 3.67 2020
034737137 Vettel, Bouazzaoui 4.51 2021
203713607 Fagan, Leoncio 4.19 2018
753319574 Byone, Ishrat 1.13 2019
178564908 Dietze, Joelma 3.96 2019
466655665 Bresett, Eros 0.67 2019
589134516 Crotty, Bakr 1.73 2022
777927739 Memos, Dionisia 2.01 2018
835756365 Krance, Sifeddine 4.62 2018
140417055 Sodachanh, Ismahan 0.70 2020
195693494 Carmolli, Ximei 3.01 2021
021392940 Schulter, Georgi 4.83 2019
371831415 Wingo, Bernadette 1.56 2021
426717321 Lamport, Blas 3.57 2020
736348290 Pugsley, Pasqualina 0.30 2022
618181114 Hites, Marinus 1.45 2020
317307816 Mateos, Zenoviy 0.60 2020
539183840 Cao, Olexiy 1.93 2018
032904703 Massing, Aharon 2.99 2018
770385189 Kadow, Eladia 0.89 2022
210299924 Fellon, Marlon 0.32 2021
993951659 Langlo, Ghaffar 2.21 2020
530674977 Cutler, Jianguo 0.32 2020
506597380 Huscher, Dahou 1.54 2022
233877567 Gracey, Laiene 1.68 2021
670738578 Soulliere, Michela 3.48 2020
737248298 Mellendorf, Geraldo 3.56 2022
147623744 Milly, Sharmin 2.34 2018
778888359 Fitting, Antonino 4.72 2021
203472467 Flett, Peligros 4.71 2018
196045648 Bolander, Burgo 1.00 2022
107564748 Dikkers, Caitlyn 1.43 2018
504611897 Meineke, Edu 3.48 2021
