000027379 Trachtenberg, Illia 2.18 2021
244303799 Hilz, George 2.95 2019
244304759 Saragosa, Lioudmila 3.32 2021
244310547 Glinkerman, Gertrud 4.90 2018
244311195 Telch, Lohizune 2.86 2022
244317094 Mt, Regena 3.56 2018
244330544 Onisick, Franklyn 0.58 2019
244336211 Raisch, Lidong 2.98 2021
244367570 Stull, Monina 1.82 2022
244383277 Meer, Adelma 3.53 2022
244387607 Dulek, Antionette 2.80 2020
244390503 Mohan, Hania 2.69 2020
244407883 Sarne, Wei 1.73 2021
244409451 Zamzam, Marceli 0.22 2019
244415114 Stalford, Margaux 3.47 2021
244447892 Mordehay, Mana 4.16 2021
244462195 Baoloy, Rosen 1.14 2020
244483733 Maughn, Ba 2.73 2021
244489087 Tobia, Casimira 3.04 2019
244497061 Perna, Teodolinda 4.52 2021
244505480 Lurtz, Kamel 3.72 2019
244544204 Trasport, Alin 1.14 2022
244546065 Wischman, Snezha 3.81 2021
244546852 Tebbe, Ria 3.94 2022
244547982 Devor, Jandira 0.61 2019
244554235 Ripka, Corpus 0.22 2018
244568990 Carr, Yaritsa 0.27 2018
244568507 Ruoho, Aristeo 2.59 2018
244575079 Eliopoulos, Kasha 0.20 2020
244577509 Ambert, Amar 0.30 2020
244586551 Riedinger, Hornjoserbsce 0.12 2020
244590607 Morawa, Thelma 4.84 2020
244619523 Ragel, Chima 3.28 2019
244647723 Chasin, Chuks 4.75 2021
244647402 Maisenbacher, Esmail 4.48 2022
244655079 Wahlen, Wilhelmina 4.29 2022
244655763 Gladfelter, Zinaida 2.55 2022
244668295 Gelineau, Toader 3.55 2019
244677955 Ikemire, Victoriya 3.59 2021
244681507 Dolph, Eder 2.20 2022
244694651 Debrie, Walburga 1.18 2022
244758296 Hamelinck, Azmat 3.99 2020
244759570 Payano, Yongfeng 4.08 2019
244763823 Fairbairn, Embarek 1.26 2020
244778784 Hemanes, Montsant 0.35 2022
244779125 Peranio, Earleen 4.78 2022
244788674 Fineran, Lourenco 2.68 2018
244802393 Meyn, Manea 4.73 2019
244814137 Matacale, Flaviana 0.75 2020
244816804 Ohashi, Yessika 4.30 2020
244825804 Lyerly, Mery 4.87 2020
244826429 Lyttle, Josep 1.70 2020
244827522 Hense, Verlene 3.47 2019
244832822 Pedone, Anel 1.61 2018
244845582 Dermady, Yasine 2.75 2019
244858759 Jonnson, Wim 3.39 2018
244876159 Furguson, Crista 4.66 2020
244886723 Warsager, Doraliza 2.28 2022
244893301 Klear, Romano 2.81 2022
244900865 Basehore, Dalmira 1.50 2022
244904397 Valdespino, Ivanichka 2.64 2018
244915113 Collozo, Amaury 4.90 2019
244931987 Prause, Nicoleta 1.50 2020
244977506 Vandenberge, Monfrague 3.87 2019
244984960 Holstege, Otmar 1.69 2018
244984618 Telford, Som 0.52 2018
245008974 Pedrogo, Ursicinio 2.14 2020
245015455 Kathman, Sirio 1.36 2021
245024996 Mehrotra, Rozella 2.23 2018
245041428 Eastridge, Ibrahin 1.00 2020
245046968 Ducceschi, Glorificacion 0.62 2018
245061675 Fullwiler, Grettel 2.60 2019
245063710 Shoals, Felisindo 1.81 2020
245071571 Tacheny, Fattoum 2.36 2022
245075135 Minster, Zaim 0.52 2020
245079745 Branck, Lizzette 4.67 2022
245084016 Heagney, Liisa 1.15 2022
245086944 Romkema, Yajie 1.59 2022
245086651 Valenstein, Yone 0.02 2018
245128863 Bessard, Kinga 1.17 2019
245129160 Pase, Ioseb 2.86 2022
245133621 Goin, Sol 3.90 2020
245158314 Hinke, Zhijian 1.65 2022
245164826 Zuccarelli, Roselee 0.77 2021
245164396 Montoya, Delcho 4.90 2021
245164386 Altschuler, Margarita 4.22 2019
245172628 Wansley, Ekain 2.62 2022
245193506 Wogan, Nonito 0.10 2018
245205509 Median, Almerinda 1.01 2019
245205011 Nordstrand, Gumercindo 3.13 2022
245210014 Steans, Emilse 2.81 2022
245210843 Burgamy, Milko 0.18 2022
245215453 Hightree, Salesa 1.02 2019
245216097 Hulsey, Baldiri 3.63 2020
245216649 Casilla, Nabila 3.43 2022
245217442 Capello, Radka 3.22 2018
245227310 Sophy, Beatriz 2.77 2021
245232751 Rawhouser, Kayleigh 1.88 2019
245238267 Rasool, Aiju 4.28 2018
245239158 Toki, Afrodita 1.76 2018
245246542 Marturano, Sachiko 1.36 2022
245247730 Klecker, Britt 2.39 2019
245261595 Madler, Adesuwa 2.87 2020
245262628 Purchase, Ibraima 4.59 2022
245293498 Bacigalupo, Neagu 3.66 2018
245297390 Petch, Nombre 0.50 2022
245299699 Laverne, Ildefons 0.87 2021
245301539 Mccollam, Moner 0.73 2018
245309210 Dilks, Haytam 4.79 2021
245311157 Ricardez, Egle 4.60 2022
245336255 Kemmis, Ale 2.65 2020
245385520 Aland, Nikolaj 4.75 2018
245388610 Neiford, Elson 0.65 2019
245393810 Elsbree, Cora 1.70 2019
245408032 Broege, Marlucia 3.61 2018
245416659 Gajda, Ignat 3.23 2021
245427848 Casement, Gang 1.20 2021
245454335 Hayre, Fernanda 1.32 2019
245465422 Kiehn, Diana 4.70 2021
245470735 Laperle, Yoselin 3.00 2022
245523793 Mcintee, Fontcalda 4.92 2021
245534208 Dziuk, Merri 2.23 2019
245554606 Turrietta, Voicu 0.90 2021
245556708 Notley, Neli 4.36 2022
245561233 Albano, Souleymane 3.25 2020
245574801 Branstad, Tinguaro 4.66 2018
245576233 Mattsey, Ignasia 0.77 2021
245577333 Balash, Walae 2.61 2019
245582795 Warick, Pearly 3.84 2018
245595361 Chea, Alarico 2.41 2020
245635940 Harshman, Susanna 2.02 2021
245642691 Gavina, Heide 1.77 2019
245654265 Revolorio, Tibisay 3.58 2022
245655594 Veloso, Raimundas 3.03 2020
245690765 Gonales, Hasmik 1.09 2018
245699127 Konig, Rosemarie 1.75 2018
245706508 Esty, Chaabane 4.57 2021
245706268 Benway, Mati 1.25 2022
245771888 Plachecki, Fabien 1.44 2018
245781196 Paloukos, Gados 3.29 2022
245784494 Ahlman, Veridiana 2.54 2020
245790643 Vanzyl, Melquiades 2.39 2021
245790651 Dolinger, Petrova 3.47 2022
245811557 Prum, Mallory 3.98 2020
245811249 Haydu, Carolo 3.03 2020
245812882 Innerst, Nazira 1.96 2022
245823720 Henegar, Pawan 0.43 2022
245825114 Ugolini, Asad 2.74 2021
245828050 Yaws, Babette 3.09 2020
245829069 Liljeberg, Wilburn 0.13 2021
245835181 Ringwood, Fredy 0.68 2021
245853009 Bentle, Ophelie 1.36 2020
245853583 Cruel, Jahel 2.11 2020
245855389 Krebel, Hatem 1.28 2022
245861948 Gavula, Kanisha 2.22 2020
245861209 Sirrine, Artzai 0.18 2022
245892228 Friedrich, Wladimiro 3.18 2021
245899429 Rogens, Xiaoxia 1.96 2021
245917085 Ahlin, Rakesh 1.47 2021
245936817 Foltz, Manssour 2.18 2022
245937417 Nutley, Kalilu 1.48 2019
245942786 Nakajima, Alfredia 1.48 2019
245963831 Kazmi, Jacky 3.93 2018
245976415 Hagger, Covadonga 4.69 2021
245987422 Cultice, Halim 1.10 2018
245993584 Votaw, Keith 0.93 2018
245999857 Uphoff, Sarahy 0.19 2020
246000641 Withy, Joaquim 3.39 2018
246004553 Hapeman, Angiolina 1.87 2021
246015833 Linkovich, Nasrine 0.81 2019
246016305 Robbins, Rosalyn 2.72 2022
246025413 Clauson, Jemma 2.42 2020
246030517 Starrett, Hoa 2.95 2018
246038719 Rightley, Larabi 1.46 2018
246054701 Grimaldo, Lotte 1.57 2021
246063673 Neubert, Siny 2.94 2021
246080889 Hidrogo, Brady 4.79 2022
246082692 Stephens, Amira 1.77 2020
246096841 Loredo, Minying 3.02 2018
246121668 Khazdozian, Obdulio 0.00 2018
246145011 Mcwells, Shandi 4.59 2021
246147265 Leopard, Gianmarco 1.87 2019
246147300 Menitz, Sherilyn 3.11 2018
246152291 Saverchenko, Maiquel 3.24 2020
246157220 Mayenschein, Mayme 3.78 2018
246186744 Vannette, Liberia 3.05 2019
246205277 Guiliano, Yulen 2.20 2022
246224233 Yakow, Othmane 2.05 2020
246227984 Cereo, Cody 0.36 2020
246229480 Tongue, Rufus 1.00 2022
246241697 Deir, Grazia 2.98 2018
246249958 Stelling, Anibal 3.46 2022
246265959 Adrid, Madina 4.19 2019
246268594 Skreen, Taciana 1.60 2020
246277063 Dubie, Estebana 0.39 2018
246286134 Heeg, Rania 4.00 2022
246299627 Kilness, Bob 3.76 2018
246303898 Pieretti, Goizalde 0.50 2022
246307913 Opal, Jorge 1.60 2020
246308257 Servey, Yinhua 1.86 2021
246321464 Zientek, Hanah 2.00 2021
246330052 Sirmon, Veta 2.08 2020
246339622 Caulk, Weihong 4.08 2021
246342219 Paquette, Hamet 3.24 2022
246355265 Munivez, Jianyong 4.74 2021
246376640 Warhola, Samah 1.99 2022
246393577 Petrilla, Abelina 1.03 2021
246412515 Champey, Anelia 3.52 2019
246416122 Kerson, Tona 1.91 2021
246417670 Parslow, Maddi 1.12 2018
246433349 Danca, Benyahia 2.37 2020
246438796 Criste, Waldo 1.00 2020
246443583 Sugerman, Yikai 4.46 2019
246453292 Tipton, Virtudes 2.45 2018
246453148 Schmieder, Maraya 2.42 2020
246460373 Cones, Ramdan 3.13 2021
246478298 Sample, Jinlan 1.93 2020
246499191 Stankiewicz, Eliott 2.71 2022
246521607 Parsens, Zdravka 3.50 2018
246523421 Hepperly, Ekain 3.12 2022
246525842 Rosca, Regan 3.06 2018
246551217 Vibert, Leire 0.83 2019
246566181 Aries, Judite 1.33 2018
246568519 Hardsock, Devajuti 3.15 2019
246570413 Thiem, Mayerlin 0.30 2022
246595255 Mannings, Tamica 1.03 2021
246653573 Rhoan, Tisha 0.60 2022
246669682 Mascheck, Nozha 4.44 2021
246672737 Lattner, Itziar 2.31 2021
246684866 Osisek, Nyima 0.21 2022
246695315 Ax, Souhail 2.69 2018
246714506 Wisehart, Bertrand 4.57 2019
246732114 Aspen, Bully 2.26 2019
246740052 Boglioli, Teudiselo 4.86 2019
246740270 Heral, Soletat 3.34 2018
246744085 Turrigiano, Filo 3.22 2021
246751901 Steinhardt, Deanne 0.97 2022
246752598 Shorrock, Inna 0.98 2019
246755641 Romanowski, Nikoloz 0.71 2019
246777124 Bijan, Gabriela 4.41 2022
246788389 Grosser, Jaye 1.33 2020
246802620 Torruellas, Nil 0.20 2022
246815007 Lekwa, Stein 4.66 2020
246827396 Higgons, Heidrun 3.90 2019
246846932 Raff, Dafne 4.90 2022
246848480 Cappo, Zachariah 0.09 2019
246881809 Puletasi, Aouicha 4.11 2021
246884329 Schleider, Ricardina 3.70 2022
246889388 Litka, Oresta 3.49 2019
246895867 Arons, Sha 0.38 2021
246907953 Skonczewski, Erasmo 3.69 2022
246920227 Forster, Anton 3.81 2022
246921024 Starich, Brynn 4.52 2021
246922915 Dajer, Eugene 4.01 2018
246924077 Daddario, Melitona 4.42 2021
246929714 Delap, Noura 3.43 2018
246932097 Liess, Ambrose 2.77 2018
246935482 Pinkelton, Denislava 4.22 2022
246946877 Macneil, Michel 4.64 2022
246946144 Pantano, Gennie 0.37 2022
246948098 Lake, Sorin 2.24 2020
246956357 Diniz, Romaine 3.00 2021
246968713 Zrake, Deeanna 2.92 2021
246971712 Crellin, Iñaky 4.88 2022
246988367 Keany, Joana 3.78 2019
246988957 Largen, Daria 3.34 2021
247007197 Marchesi, Elicinia 2.71 2018
247026156 Moralas, Cosmina 1.71 2018
247032299 Lavin, Wanli 1.21 2018
247068574 Leshko, Ionatan 2.16 2018
247081287 Paulus, Albertas 0.06 2020
247092867 Talsky, Venita 1.50 2022
247092001 Brull, Douae 3.95 2019
247097324 Vandenacre, Norayr 0.29 2022
247119355 Hustus, Hadilla 0.07 2022
247129047 Deneke, Riahi 4.30 2019
247131597 Dember, Merouane 3.60 2018
247146745 Alva, Idelina 0.12 2019
247149901 Broadhurst, Huc 0.66 2021
247158868 Durrette, Moises 0.74 2019
247160727 Savory, Harvey 1.42 2019
247166944 Kubin, Margarit 2.18 2019
247171560 Buttaro, Parminder 3.56 2022
247175094 Febus, Lynne 2.37 2022
247179438 Tegner, Lavina 0.95 2020
247179899 Boyda, Catinca 0.81 2020
247181289 Beehler, Garikoitz 4.49 2020
247189374 Fatica, Williemae 4.42 2021
247253638 Shadiack, Chadya 3.70 2018
247257138 Soun, Kiowa 3.12 2021
247269980 Oms, Eufrasia 2.53 2019
247292798 Bialik, Ndiaye 3.19 2019
247318451 Pywell, Benedicte 1.73 2020
247326225 Caraballo, Ramil 2.82 2020
247329288 Thrush, Juno 2.44 2019
247341038 Stavely, Jaye 2.06 2019
247341128 Polit, Lleonard 4.45 2019
247351462 Kimpel, Sherell 2.40 2021
247354075 Bohanan, Krystin 2.58 2022
247357956 Kristiansen, Arhane 0.70 2021
247365561 Bravo, Tamer 2.59 2018
247375218 Gunia, Indalencio 3.64 2020
247395964 Hetling, Ilse 0.86 2022
247407209 Peels, Xiaoqiang 1.58 2022
247414739 Wieder, Irache 2.85 2022
247416216 Thomes, Hildegart 2.90 2018
247439540 Tritz, Zoita 1.58 2020
247441985 Lunday, Olmedo 0.14 2019
247449062 Vanstone, Younes 2.30 2019
247450938 Montney, Patxo 0.78 2019
247463327 Schliep, Ursicino 3.34 2021
247466125 Grupe, Burma 4.07 2019
247472321 Culnane, Lilla 3.25 2020
247495199 Driscoll, Breanne 1.79 2020
247497506 Delfierro, Dunixe 3.40 2021
247505507 Tepley, Vito 4.90 2018
247509231 Willis, Aynur 3.54 2019
247509402 Diewold, Aydee 0.96 2018
247519883 Echeverria, Rosemarie 1.29 2020
247521497 Bruffee, Alassane 2.26 2018
247526537 Seligmann, Adrista 1.31 2018
247540017 Carroll, Csaba 1.88 2021
247543695 Oblinski, Xiaoxiong 3.70 2021
247547940 Wichland, Abdesslem 4.30 2019
247548697 Maddox, Sergia 1.56 2020
247555345 Charfauros, Lilit 4.79 2022
247556332 Schweigert, Maple 2.20 2020
247562385 Krajcer, Roksolana 4.73 2021
247565421 Finucan, Yuonne 4.49 2018
247580588 Votaw, Rosimeire 2.81 2020
247595055 Vannice, Kseniya 1.19 2020
247595980 Loudy, Almeda 1.80 2020
247599497 Ouchi, Nichel 3.66 2019
247610304 Barnebey, Pamula 4.68 2018
247616988 Braver, Lizhong 4.99 2018
247643620 Pesh, Oier 2.87 2021
247644293 Bargmann, Marillac 4.85 2019
247647483 Lowcks, Noaman 4.24 2019
247652291 Dutch, Hedy 0.04 2020
247687575 Stinett, Daylos 0.46 2018
247715125 Ottley, Regis 2.06 2021
247718814 Feighner, Aleja 1.02 2021
247718654 Urrutia, Sulay 0.26 2019
247721295 Dillabough, Ghita 0.92 2022
247722537 Bentz, Yongfu 2.23 2021
247740300 Foulkes, Fausi 0.91 2018
247758229 Fitzmier, Mireilla 4.75 2018
247791764 Whippie, Nargis 1.02 2020
247797712 Ionescu, Nathalie 4.82 2019
247801446 Mckiney, Shengyi 2.79 2018
247821400 Large, Tijani 4.25 2019
247824636 Hinostroza, Jhonattan 0.36 2019
247828904 Gadison, Heidemarie 3.17 2021
247831056 Vancil, Adur 0.54 2020
247838690 Mcgoldrick, Benabdellah 2.67 2021
247839809 Vermilyea, Danish 2.75 2020
247839456 Heinonen, Xiaoya 1.69 2022
247855903 Cope, Anabella 1.95 2020
247860186 Sinn, Columba 1.51 2018
247862413 Auzat, Bette 2.39 2021
247864640 Panagoulias, Isamel 0.35 2020
247867732 Reeh, Lhoussaine 1.17 2018
247893601 Turansky, Kulwinder 3.41 2018
247893197 Perow, Pradeep 1.97 2020
247902594 Tibwell, Lindsay 0.18 2021
247910652 Shock, Stephani 1.38 2020
247924720 Shallenberger, Norine 4.69 2020
247927511 Brelje, Karishma 1.60 2020
247943268 Arostegui, Deidre 4.61 2019
247946583 Blauvelt, Martos 3.50 2020
247962056 Keach, Valerian 1.53 2018
247968241 Bossier, Hnia 3.56 2021
247969590 Luis, Siriman 0.88 2021
247993555 Spagna, Fidanka 3.12 2018
247995967 Yafaie, Libertad 2.49 2018
248005546 Laventure, Millaray 1.23 2019
248019168 Weathington, Junmei 4.60 2019
248040224 Scheuers, Sebastien 4.87 2019
248041675 Lizama, Agnieszka 2.66 2021
248052361 Kohlmyer, Guoguang 4.07 2019
248057716 Corfman, Patrina 4.98 2021
248062972 Delahoussaye, Airam 4.06 2021
248094927 Lachowicz, Venerada 2.03 2022
248100172 Heying, Magdalena 1.23 2021
248117462 Popejoy, Radut 0.29 2021
248118416 Darocha, Glennis 0.53 2022
248139939 Preslipsky, Saladina 4.82 2019
248146895 Tesauro, Albito 4.51 2020
248148088 Kisamore, Iratze 2.28 2018
248149550 Weigold, Dahane 4.55 2021
248150596 Clos, Carriona 4.82 2021
248169411 Morneau, Chunlei 2.12 2018
248191189 Brew, Zain 0.01 2020
248191439 Isley, Giannina 3.79 2022
248192148 Rimando, Anais 1.17 2018
248218598 Syrstad, Edicta 1.55 2019
248249171 Sakumoto, Liza 0.28 2019
248281764 Stooks, Dativo 4.05 2022
248283401 Penrice, Cristofol 1.33 2020
248313564 Headrick, Moustafa 4.65 2020
248333229 Misener, Grazia 4.59 2018
248335693 Schweim, Musarrat 2.44 2021
248349308 Honie, Cindie 2.50 2018
248350120 Titlow, Alayn 1.45 2020
248351019 Zens, Elieser 3.68 2020
248356625 Pettner, Herlinda 3.55 2021
248363254 Stauffer, Odon 4.54 2020
248379903 Kisinger, Grant 1.12 2018
248380073 Oram, Alaksmi 0.20 2019
248392155 Pevsner, Georgieva 0.38 2022
248393129 Dyches, Corinne 3.20 2021
248396479 Vasilauskas, Casimira 0.30 2020
248396500 Darland, Mason 2.65 2018
248398003 Mengle, Dalida 1.58 2018
248404426 Demel, Rongrong 3.52 2019
248411316 Dunsmoor, Ishtiaq 4.32 2020
248435989 Cromley, Nayat 2.38 2020
248465392 Ceo, Arona 3.43 2021
248474063 Heimbach, Meline 2.16 2019
248497480 Foulkes, Lavina 3.14 2018
248501680 Brode, Jesus 2.90 2019
248510192 Youns, Moaad 1.49 2021
248521562 Schulteis, Filoftia 2.67 2018
248522575 Kombe, Akaki 3.68 2020
248538119 Gumb, Maleni 2.89 2022
248547814 Boesenhofer, Abdulai 2.57 2022
248580873 Citrano, Florentina 4.40 2020
248598849 Shaheed, Ondina 3.57 2018
248601842 Lelonek, Lhoussine 2.39 2020
248614139 Pelikan, Magin 3.86 2018
248622402 Melia, Fayyaz 1.42 2018
248647440 Cavallero, Gixane 3.72 2021
248670573 Mollison, Isis 1.22 2022
248677796 Linebarger, Elizaveta 1.78 2021
248677989 Milbrandt, Sherwood 0.46 2022
248678197 Vanderloo, Rickie 1.83 2018
248711280 Laronda, Aldrin 4.54 2021
248719076 Wobbe, Rosenilda 3.37 2018
248728989 Schlosberg, Montes 3.04 2021
248733535 Fitzrandolph, Valerii 3.51 2018
248735442 Nush, Todd 3.17 2020
248738905 Ngvyen, Madelein 2.53 2019
248741220 Palchetti, Hernan 4.21 2019
248746651 Warneke, Xinbo 3.05 2018
248767332 Ritchie, Codes 2.52 2018
248769829 Jazwa, Romayssae 3.53 2021
248775486 Botts, Ezekiel 2.37 2020
248775043 Shaheed, Virtudes 0.19 2019
248776997 Langholdt, Madge 0.98 2020
248784461 Showe, Guilherme 2.22 2018
248785699 Callow, Txaro 0.68 2022
248788502 Lascala, Ceferina 2.68 2018
248793858 Seyfert, Anthony 1.43 2018
248795671 Canavan, Xueli 0.51 2018
248830076 Mittelsteadt, Nelina 0.56 2021
248834180 Benach, Inell 2.25 2020
248842937 Rhoe, Vladimer 4.71 2022
248846019 Blumenschein, Sanjay 0.21 2018
248859274 Erholm, Lamar 4.29 2019
248873652 Pethtel, Urvashi 4.48 2019
248887630 Schomacker, Alberto 1.13 2022
248888587 Herschel, Fares 2.04 2020
248889278 Amelung, Alecu 0.40 2018
248891076 Schaffter, Catarina 0.78 2020
248899027 Dunt, Kristian 0.63 2018
248912739 Bhattacharya, Patrisia 1.14 2021
248924789 Jong, Morgana 3.78 2019
248942349 Annonio, Ineva 2.75 2019
248943446 Affagato, Dorin 1.95 2021
248977762 Rubie, Chance 0.46 2022
249010298 Parliman, Leanna 4.82 2019
249018200 Kretzer, Belahouel 3.92 2018
249042308 Whittenbeck, Alcides 4.96 2018
249052687 Stubbins, Hassnaa 3.65 2020
249053666 Killen, Anass 2.54 2021
249068579 Mccombie, Houriya 0.74 2020
249070418 Waldschmidt, Oxel 0.47 2018
249073801 Dobies, Catita 3.35 2020
249074529 Mckinsey, Ixone 0.64 2020
249078478 Hartgerink, Mata 1.51 2020
249090279 Sustaita, Azarias 1.02 2020
249098747 Aguele, Alphonso 2.56 2021
249102810 Cariveau, Edmilson 0.61 2019
249120432 Murders, Heike 4.62 2021
249122366 Zuluaga, Baraa 1.85 2019
249127085 Pastiva, Auxilio 2.96 2021
249160429 Eans, Alexandros 0.76 2018
249162789 Riggers, Roswitha 3.38 2018
249175189 Cirocco, Shu 3.34 2021
249179663 Andrepont, Shadi 3.81 2018
249180780 Betthauser, Major 1.43 2021
249198920 Grana, Pergentina 2.79 2019
249205050 Begnaud, Sonny 3.15 2019
249206993 Morsell, Hiram 1.64 2019
249233642 Kennedy, Ceola 0.24 2019
249236513 Cheaney, Raffaele 3.03 2018
249263991 Gumina, Kanta 0.12 2019
249265101 Lamay, Said 3.29 2020
249268933 Stanek, Kandy 2.92 2022
249276777 Geeslin, Olesea 2.92 2021
249280580 Donn, Orencia 4.64 2019
249286955 Coyazo, Stoyanov 4.32 2021
249296617 Warton, Valle 4.17 2019
249299664 Norsen, Paun 1.39 2021
249300259 Simone, Wim 2.76 2018
249310577 Novellino, Iuliana 1.24 2020
249321765 Ogren, Balbino 3.79 2022
249323018 Musetti, Lutgarda 0.61 2018
249325108 Hamburg, Ardath 1.68 2020
249327733 Freel, Shahzaib 0.45 2019
249335480 Couturier, Collell 2.29 2020
249341548 Diebold, Leisy 2.33 2021
249353055 Iskra, Elisabeht 4.70 2021
249367331 Mcpharlane, Nelu 4.94 2019
249378834 Farrand, Anabelle 3.79 2020
249379099 Zeiss, Patrisia 1.81 2020
249390654 Ryberg, Alesander 4.51 2018
249407104 Ocain, Yane 3.19 2019
249429683 Yutzy, Bonnie 3.17 2020
249442659 Beaucage, Magdalena 4.34 2019
249460823 Pasqualetti, Praxedes 2.25 2020
249478804 Soong, Xianmin 3.86 2021
249490711 Stankey, Nayeli 3.49 2019
249498714 Lamaitre, Sundus 4.73 2022
249510890 Ertel, Linas 4.33 2019
249543963 Soltow, Lorien 3.04 2020
249564904 Althouse, Theresia 3.20 2019
249566050 Macias, Amritpal 4.98 2022
249570307 Massa, Serhii 1.23 2019
249575115 Adamsonis, Ileana 3.47 2019
249575724 Piechota, Etna 3.12 2021
249578711 Alemany, Darnell 0.55 2019
249584743 Weisser, Tobias 1.29 2019
249592317 Sivyer, Maxym 1.65 2020
249594212 Mahung, Stacy 3.74 2022
249622604 Shirar, Ireneu 3.47 2019
249626000 Joki, Waldina 3.71 2018
249632733 Carabello, Mounia 2.86 2021
249652619 Vaci, Anika 1.36 2018
249654794 Garlinger, Nekane 3.30 2020
249666599 Biener, Abdelaali 4.07 2020
249667564 Sweetman, Branko 4.68 2020
249675530 Knott, Abdennasser 3.28 2021
249675005 Schleifer, Bochra 2.12 2018
249713297 Yeske, Florentin 2.88 2018
249717486 Schacher, Hae 4.91 2019
249719287 Hochnadel, Kin 1.14 2020
249720976 Faust, Robt 2.95 2021
249726551 Reasons, Cherie 2.54 2020
249728183 Caspers, Genova 2.99 2019
249729112 Sales, Blasina 3.06 2021
249742854 Guella, Aivaras 0.70 2019
249755828 Gleckler, Toutou 0.57 2020
249761557 Brinkerhoff, Arik 1.78 2018
249768912 Vasi, Sandy 4.18 2022
249771453 Baites, Tadea 3.49 2021
249790412 Mangum, Nazan 1.51 2020
249818263 Arden, Maciana 0.15 2019
249829605 Andujar, Carolyne 2.78 2020
249839185 Rosek, Emilsen 4.59 2022
249869722 Catholic, Irwin 2.98 2019
249870261 Peifer, Alishia 1.08 2018
249870514 Elsasser, Salua 4.77 2022
249887824 Rily, Karon 2.09 2022
249897490 Hokenson, Setti 2.63 2019
249907763 Wilks, Cayo 3.64 2018
249916790 Griffeth, Belisaria 4.79 2018
249916925 Bash, Alcione 4.63 2019
249922595 Livecchi, Paryania 1.25 2022
249933453 Kachmarsky, Sook 0.67 2018
249939586 Hladek, Fedora 3.93 2019
249941725 Ciesla, Abelia 0.46 2019
249945401 Adels, Elies 1.17 2022
249952951 Droegmiller, Tulia 1.66 2019
249953775 Wenstrand, Linn 0.60 2022
249961141 Dimuzio, Rocco 4.49 2021
249963083 Raygosa, Maiol 1.11 2021
249969191 Hoell, Gytis 1.32 2020
249978417 Backhuus, Malek 0.88 2019
249983904 Klingen, Electa 3.60 2022
249983190 Bunyea, Sviatoslav 0.68 2022
249994348 Kimpton, Yenni 4.27 2022
249997166 Raffa, Madelein 0.62 2019
250011698 Crossman, Honorata 3.57 2018
250026236 Cafarella, Yulieth 3.63 2018
250030161 Clucas, Iosif 2.77 2019
250042686 Smiechowski, Euna 1.89 2018
250067814 Jun, Inocente 2.21 2022
250091613 Laguna, Nazim 2.39 2022
250096932 Score, Basiru 3.21 2020
250111896 Marxsen, Badi 2.67 2018
250114961 Herschelman, Remona 3.07 2021
250122386 Kishaba, Mita 3.82 2019
250124503 Ringhouse, Mohsan 3.58 2020
250145055 Ady, Salvia 1.79 2018
250149708 Kosuta, Mattia 2.25 2022
250157434 Gransberry, Syble 1.86 2019
250160253 Lazott, Thora 0.80 2021
250165984 Childers, Bujor 4.37 2019
250190460 Dewese, Aleksandrs 3.49 2022
250197379 Muellerleile, Raisa 4.13 2018
250207040 Purves, Enai 3.50 2022
250211898 Kaltefleiter, Jingjing 0.46 2022
250213066 Teichert, Noria 1.38 2019
250234019 Cherry, Demi 2.98 2020
250251590 Malmquist, Bah 0.47 2019
250258126 Daquino, Bittor 1.31 2020
250273494 Partenope, Omayma 4.12 2021
250300198 Graetz, Parthenia 3.94 2018
250311461 Sanford, Elodia 4.03 2021
250318389 Bonds, Zaima 4.21 2021
250321513 Gierlach, Ilieva 4.46 2021
250377574 Nadler, Deva 0.35 2021
250386088 Kinlin, Askoa 4.79 2020
250387504 Homes, Marva 1.42 2020
250404106 Byrer, Blanka 0.47 2019
250422421 Muyskens, Andries 1.83 2018
250426647 Corporal, Yasemin 3.35 2020
250433314 Bijan, Hubert 1.81 2022
250440112 Stoesz, Sinforiana 1.00 2022
250454077 Dibartolomeo, Benaisa 1.59 2021
250454617 Speers, Marizabel 1.72 2021
250477300 Oldfield, Chakib 0.61 2019
250490769 Orrico, Marianela 3.22 2021
250497129 Bohannan, Jovelyn 4.39 2021
250500728 Schoonover, Cornelio 0.65 2020
250518635 Molt, Vintila 1.89 2021
250547040 Kisser, Manish 3.70 2022
250553917 Eber, Lakeesha 2.28 2021
250557796 Angove, Jaume 3.91 2020
250560559 Carin, Harjeet 4.66 2021
250567379 Iliff, Simina 0.62 2019
250574114 Eikleberry, Dorthy 4.37 2022
250592885 Clouatre, Pencho 0.20 2019
250593684 Marci, Silvie 2.88 2018
250599073 Wolfgram, Alcira 4.41 2019
250606098 Ritums, Laira 4.87 2022
250609277 Gverrero, Ebou 1.37 2018
250613769 Mirick, Nugzar 3.18 2020
250617104 Chevrier, Aaron 0.60 2018
250638503 Neidert, Genadio 3.75 2021
250649813 Siford, Gexan 1.81 2022
250667642 Jurik, Naema 3.45 2019
250699622 Luensmann, Eritz 3.37 2018
250699439 Wordlow, Anne 0.55 2022
250714189 Tisdel, Valentyna 3.48 2019
250731817 Oguin, Terese 2.78 2020
250745574 Gach, Imelda 1.02 2022
250796346 Bandin, Gaurav 3.78 2021
250815088 Kirkhart, Rosiane 4.23 2022
